Area,Region,Cases,Case Rate,Deaths,Death Rate,CF Outbreak
Los Angeles - Sunland,Verdugos,246,1205,24,118,False
Los Angeles - Sycamore Square,Central LA,1,155,0,0,False
Los Angeles - Sylmar,San Fernando Valley,1487,1805,55,67,True
Los Angeles - Tarzana,San Fernando Valley,380,1231,28,91,False
Los Angeles - Temple-Beaudry,Central LA,640,1621,16,41,False
Los Angeles - Thai Town,Central LA,75,765,0,0,False
Los Angeles - Toluca Lake,San Fernando Valley,39,448,0,0,False
Los Angeles - Toluca Terrace,San Fernando Valley,10,766,1,77,False
Los Angeles - Toluca Woods,San Fernando Valley,6,323,0,0,False
Los Angeles - Tujunga,Verdugos,203,730,11,40,False
Los Angeles - University Hills,Eastside,30,875,1,29,False
Los Angeles - University Park,South LA,414,1508,9,33,False
Los Angeles - Valley Glen,San Fernando Valley,255,850,9,30,False
Los Angeles - Valley Village,San Fernando Valley,319,1290,22,89,False
Los Angeles - Van Nuys,San Fernando Valley,1358,1457,45,48,False
Los Angeles - Venice,Westside,117,345,2,6,False
Los Angeles - Vermont Knolls,South LA,392,2279,6,35,False
Los Angeles - Vermont Square,South LA,181,2364,2,26,False
Los Angeles - Vermont Vista,South LA,927,2251,14,34,False
Los Angeles - Vernon Central,South LA,1535,2952,23,44,False
Los Angeles - Victoria Park,Central LA,101,1203,2,24,False
Los Angeles - View Heights,South LA,20,541,2,54,False
Los Angeles - Watts,South LA,844,1978,13,30,False
Los Angeles - Wellington Square,Central LA,55,1119,0,0,False
Los Angeles - West Adams,South LA,469,1697,28,101,False
Los Angeles - West Hills,San Fernando Valley,250,617,25,62,False
Los Angeles - West Los Angeles,Westside,242,643,7,19,False
Los Angeles - West Vernon,South LA,1105,2060,26,48,False
Los Angeles - Westchester,South Bay,211,409,12,23,False
Los Angeles - Westlake,Central LA,1476,2487,107,180,False
Los Angeles - Westwood,Westside,154,285,5,9,False
Los Angeles - Wholesale District,Central LA,1514,4191,15,42,True
Los Angeles - Wilmington,Harbor,722,1278,9,16,False
Los Angeles - Wilshire Center,Central LA,539,1074,25,50,False
Los Angeles - Winnetka,San Fernando Valley,558,1078,8,15,False
Los Angeles - Woodland Hills,San Fernando Valley,373,548,18,26,False
Unincorporated - Acton,Antelope Valley,31,389,2,25,False
Unincorporated - Agua Dulce,Northwest County,16,385,0,0,False
Unincorporated - Altadena,Verdugos,292,669,7,16,False
Unincorporated - Anaverde,Antelope Valley,5,332,0,0,False
Unincorporated - Angeles National Forest,Angeles Forest,3,241,0,0,False
Unincorporated - Arcadia,San Gabriel Valley,31,388,0,0,False
Unincorporated - Athens-Westmont,South LA,634,1494,11,26,False
Unincorporated - Athens Village,South LA,86,1756,5,102,False
Unincorporated - Avocado Heights,San Gabriel Valley,94,1387,1,15,False
Unincorporated - Azusa,San Gabriel Valley,202,1269,2,13,False
Unincorporated - Bassett,San Gabriel Valley,303,2045,6,40,False
Unincorporated - Bouquet Canyon,Northwest County,1,93,1,93,False
Unincorporated - Bradbury,San Gabriel Valley,3,2778,0,0,False
Unincorporated - Canyon Country,Northwest County,51,660,0,0,False
