,Date,Region,Area,Cases,"Cases per 100,000"
12840,2020-05-06,San Gabriel Valley,Unincorporated - Avocado Heights,13,191.88
12841,2020-05-06,San Gabriel Valley,Unincorporated - Azusa,23,144.45
12842,2020-05-06,Eastside,Unincorporated - Bandini Islands,0,0.0
12843,2020-05-06,San Gabriel Valley,Unincorporated - Bassett,33,222.72
12844,2020-05-06,Northwest County,Unincorporated - Bouquet Canyon,0,0.0
12845,2020-05-06,San Gabriel Valley,Unincorporated - Bradbury,0,0.0
12846,2020-05-06,Northwest County,Unincorporated - Canyon Country,27,349.38
12847,2020-05-06,Northwest County,Unincorporated - Castaic,22,80.91
12848,2020-05-06,Southeast,Unincorporated - Cerritos,0,0.0
12849,2020-05-06,San Gabriel Valley,Unincorporated - Charter Oak,0,0.0
12850,2020-05-06,Pomona Valley,Unincorporated - Claremont,0,0.0
12851,2020-05-06,San Gabriel Valley,Unincorporated - Covina,30,178.37
12852,2020-05-06,South Bay,Unincorporated - Del Aire,10,227.63
12853,2020-05-06,Westside,Unincorporated - Del Rey,0,0.0
12854,2020-05-06,Antelope Valley,Unincorporated - Del Sur,2,82.82
12855,2020-05-06,Antelope Valley,Unincorporated - Desert View Highlands,4,160.45
12856,2020-05-06,San Gabriel Valley,Unincorporated - Duarte,10,225.84
12857,2020-05-06,San Gabriel Valley,Unincorporated - East Covina,0,0.0
12858,2020-05-06,Southeast,Unincorporated - East La Mirada,8,151.17
12859,2020-05-06,Antelope Valley,Unincorporated - East Lancaster,0,0.0
12860,2020-05-06,Eastside,Unincorporated - East Los Angeles,433,345.66
12861,2020-05-06,San Gabriel Valley,Unincorporated - East Pasadena,0,0.0
12862,2020-05-06,Harbor,Unincorporated - East Rancho Dominguez,25,163.31
12863,2020-05-06,Southeast,Unincorporated - East Whittier,4,75.39
12864,2020-05-06,South Bay,Unincorporated - El Camino Village,12,136.5
12865,2020-05-06,San Gabriel Valley,Unincorporated - El Monte,0,0.0
12866,2020-05-06,Northwest County,Unincorporated - Elizabeth Lake,1,60.2
12867,2020-05-06,South LA,Unincorporated - Florence-Firestone,261,403.37
12868,2020-05-06,Central LA,Unincorporated - Franklin Canyon,0,0.0
12869,2020-05-06,San Gabriel Valley,Unincorporated - Glendora,2,303.03
12870,2020-05-06,San Gabriel Valley,Unincorporated - Hacienda Heights,59,105.5
12871,2020-05-06,Harbor,Unincorporated - Harbor Gateway,0,0.0
12872,2020-05-06,South Bay,Unincorporated - Hawthorne,4,159.11
12873,2020-05-06,Antelope Valley,Unincorporated - Hi Vista,0,0.0
12874,2020-05-06,Angeles Forest,Unincorporated - Kagel/Lopez Canyons,1,70.82
12875,2020-05-06,Verdugos,Unincorporated - La Crescenta-Montrose,17,85.85
12876,2020-05-06,San Gabriel Valley,Unincorporated - La Habra Heights,0,0.0
12877,2020-05-06,Harbor,Unincorporated - La Rambla,6,289.16
12878,2020-05-06,Pomona Valley,Unincorporated - La Verne,2,98.04
12879,2020-05-06,Westside,Unincorporated - Ladera Heights,16,226.28
12880,2020-05-06,Northwest County,Unincorporated - Lake Hughes,0,0.0
12881,2020-05-06,Antelope Valley,Unincorporated - Lake Los Angeles,24,184.7
12882,2020-05-06,San Fernando Valley,Unincorporated - Lake Manor,3,182.59
12883,2020-05-06,Harbor,Unincorporated - Lakewood,0,0.0
12884,2020-05-06,South Bay,Unincorporated - Lennox,61,270.61
12885,2020-05-06,Antelope Valley,Unincorporated - Leona Valley,1,57.11
12886,2020-05-06,Antelope Valley,Unincorporated - Littlerock,11,273.56
12887,2020-05-06,Antelope Valley,Unincorporated - Littlerock/Juniper Hills,1,77.1
12888,2020-05-06,Antelope Valley,Unincorporated - Littlerock/Pearblossom,7,196.13
12889,2020-05-06,Antelope Valley,Unincorporated - Llano,1,114.03
12890,2020-05-06,Southeast,Unincorporated - Lynwood,0,0.0
12891,2020-05-06,Westside,Unincorporated - Marina del Rey,11,116.88
12892,2020-05-06,Central LA,Unincorporated - Miracle Mile,0,0.0
12893,2020-05-06,San Gabriel Valley,Unincorporated - Monrovia,11,283.43
12894,2020-05-06,Northwest County,Unincorporated - Newhall,0,0.0
12895,2020-05-06,Antelope Valley,Unincorporated - North Lancaster,3,250.42
12896,2020-05-06,San Gabriel Valley,Unincorporated - North Whittier,6,71.77
12897,2020-05-06,San Gabriel Valley,Unincorporated - Northeast San Gabriel,20,83.21
12898,2020-05-06,Antelope Valley,Unincorporated - Palmdale,4,475.06
12899,2020-05-06,South Bay,Unincorporated - Palos Verdes Peninsula,0,0.0
12900,2020-05-06,Antelope Valley,Unincorporated - Pearblossom/Llano,2,102.25
12901,2020-05-06,San Gabriel Valley,Unincorporated - Pellissier Village,0,0.0
12902,2020-05-06,Angeles Forest,Unincorporated - Placerita Canyon,0,0.0
12903,2020-05-06,Pomona Valley,Unincorporated - Pomona,0,0.0
12904,2020-05-06,Antelope Valley,Unincorporated - Quartz Hill,29,224.7
12905,2020-05-06,Harbor,Unincorporated - Rancho Dominguez,11,413.38
12906,2020-05-06,Antelope Valley,Unincorporated - Roosevelt,0,0.0
12907,2020-05-06,Southeast,Unincorporated - Rosewood,5,388.8
12908,2020-05-06,South LA,Unincorporated - Rosewood/East Gardena,0,0.0
12909,2020-05-06,Southeast,Unincorporated - Rosewood/West Rancho Dominguez,11,327.28
12910,2020-05-06,San Gabriel Valley,Unincorporated - Rowland Heights,61,119.56
12911,2020-05-06,Harbor,Unincorporated - San Clemente Island,0,0.0
12912,2020-05-06,Northwest County,Unincorporated - San Francisquito Canyon/Bouquet Canyon,0,0.0
12913,2020-05-06,San Gabriel Valley,Unincorporated - San Jose Hills,27,133.52
12914,2020-05-06,San Gabriel Valley,Unincorporated - San Pasqual,0,0.0
12915,2020-05-06,Angeles Forest,Unincorporated - Sand Canyon,0,0.0
12916,2020-05-06,Harbor,Unincorporated - Santa Catalina Island,2,749.06
12917,2020-05-06,Santa Monica Mountains,Unincorporated - Santa Monica Mountains,19,102.04
12918,2020-05-06,Northwest County,Unincorporated - Saugus,3,1935.48
12919,2020-05-06,Northwest County,Unincorporated - Saugus/Canyon Country,0,0.0
12920,2020-05-06,Antelope Valley,Unincorporated - South Antelope Valley,0,0.0
12921,2020-05-06,Antelope Valley,Unincorporated - South Edwards,0,0.0
12922,2020-05-06,San Gabriel Valley,Unincorporated - South El Monte,2,111.42
12923,2020-05-06,San Gabriel Valley,Unincorporated - South San Gabriel,12,135.62
12924,2020-05-06,Southeast,Unincorporated - South Whittier,77,130.02
12925,2020-05-06,Antelope Valley,Unincorporated - Southeast Antelope Valley,0,0.0
12926,2020-05-06,Northwest County,Unincorporated - Stevenson Ranch,19,90.62
12927,2020-05-06,Antelope Valley,Unincorporated - Sun Village,7,115.97
12928,2020-05-06,San Gabriel Valley,Unincorporated - Sunrise Village,1,77.16
12929,2020-05-06,Northwest County,Unincorporated - Twin Lakes/Oat Mountain,4,241.25
12930,2020-05-06,San Fernando Valley,Unincorporated - Universal City,0,0.0
12931,2020-05-06,Northwest County,Unincorporated - Val Verde,105,3173.16
12932,2020-05-06,Northwest County,Unincorporated - Valencia,5,162.76
12933,2020-05-06,San Gabriel Valley,Unincorporated - Valinda,31,132.64
12934,2020-05-06,South LA,Unincorporated - View Park/Windsor Hills,28,240.65
12935,2020-05-06,San Gabriel Valley,Unincorporated - Walnut,0,0.0
12936,2020-05-06,Southeast,Unincorporated - Walnut Park,52,322.12
12937,2020-05-06,Antelope Valley,Unincorporated - West Antelope Valley,2,132.36
12938,2020-05-06,Harbor,Unincorporated - West Carson,68,307.89
12939,2020-05-06,San Fernando Valley,Unincorporated - West Chatsworth,0,0.0
12940,2020-05-06,San Gabriel Valley,Unincorporated - West Puente Valley,19,193.19
12941,2020-05-06,Harbor,Unincorporated - West Rancho Dominguez,2,147.17
12942,2020-05-06,Southeast,Unincorporated - West Whittier/Los Nietos,49,181.99
12943,2020-05-06,South Bay,Unincorporated - Westfield/Academy Hills,0,0.0
12944,2020-05-06,San Fernando Valley,Unincorporated - Westhills,0,0.0
12945,2020-05-06,Antelope Valley,Unincorporated - White Fence Farms,2,54.3
12946,2020-05-06,San Gabriel Valley,Unincorporated - Whittier,6,158.56
12947,2020-05-06,San Gabriel Valley,Unincorporated - Whittier Narrows,0,0.0
12948,2020-05-06,South LA,Unincorporated - Willowbrook,67,191.91
12949,2020-05-06,South Bay,Unincorporated - Wiseburn,8,132.74
12950,2020-05-06,Harbor,City of Long Beach,789,170.55
12951,2020-05-06,Verdugos,City of Pasadena,482,341.77
12952,2020-05-07,Santa Monica Mountains,City of Agoura Hills,31,148.45
12953,2020-05-07,San Gabriel Valley,City of Alhambra,106,122.23
12954,2020-05-07,San Gabriel Valley,City of Arcadia,50,86.57
12955,2020-05-07,Southeast,City of Artesia,15,89.31
12956,2020-05-07,Harbor,City of Avalon,0,0.0
12957,2020-05-07,San Gabriel Valley,City of Azusa,96,191.85
12958,2020-05-07,San Gabriel Valley,City of Baldwin Park,126,164.13
12959,2020-05-07,Southeast,City of Bell,144,396.34
12960,2020-05-07,Southeast,City of Bell Gardens,125,290.22
12961,2020-05-07,Southeast,City of Bellflower,162,208.4
12962,2020-05-07,Westside,City of Beverly Hills,115,333.14
12963,2020-05-07,San Gabriel Valley,City of Bradbury,1,93.55
12964,2020-05-07,San Fernando Valley,City of Burbank,288,268.71
12965,2020-05-07,Santa Monica Mountains,City of Calabasas,47,193.23
12966,2020-05-07,Harbor,City of Carson,283,301.56
12967,2020-05-07,Southeast,City of Cerritos,63,125.83
12968,2020-05-07,Pomona Valley,City of Claremont,27,74.01
12969,2020-05-07,Southeast,City of Commerce,14,107.12
12970,2020-05-07,Southeast,City of Compton,260,260.25
12971,2020-05-07,San Gabriel Valley,City of Covina,104,212.11
12972,2020-05-07,Southeast,City of Cudahy,93,381.98
12973,2020-05-07,Westside,City of Culver City,90,225.76
12974,2020-05-07,San Gabriel Valley,City of Diamond Bar,39,67.81
12975,2020-05-07,Southeast,City of Downey,264,231.05
12976,2020-05-07,San Gabriel Valley,City of Duarte,81,367.91
12977,2020-05-07,San Gabriel Valley,City of El Monte,209,178.22
12978,2020-05-07,South Bay,City of El Segundo,30,178.72
12979,2020-05-07,South Bay,City of Gardena,177,288.7
12980,2020-05-07,Verdugos,City of Glendale,687,332.7
12981,2020-05-07,San Gabriel Valley,City of Glendora,63,119.4
12982,2020-05-07,Harbor,City of Hawaiian Gardens,11,74.95
12983,2020-05-07,South Bay,City of Hawthorne,235,264.68
12984,2020-05-07,South Bay,City of Hermosa Beach,25,127.1
12985,2020-05-07,Santa Monica Mountains,City of Hidden Hills,0,0.0
12986,2020-05-07,Southeast,City of Huntington Park,182,305.96
12987,2020-05-07,San Gabriel Valley,City of Industry,4,915.33
12988,2020-05-07,South Bay,City of Inglewood,408,359.21
12989,2020-05-07,San Gabriel Valley,City of Irwindale,2,137.08
12990,2020-05-07,Verdugos,City of La Canada Flintridge,41,198.13
12991,2020-05-07,San Gabriel Valley,City of La Habra Heights,4,73.33
12992,2020-05-07,Southeast,City of La Mirada,73,147.18
12993,2020-05-07,San Gabriel Valley,City of La Puente,46,113.03
12994,2020-05-07,Pomona Valley,City of La Verne,18,54.08
12995,2020-05-07,Harbor,City of Lakewood,95,118.22
12996,2020-05-07,Antelope Valley,City of Lancaster,387,239.52
12997,2020-05-07,South Bay,City of Lawndale,75,223.12
12998,2020-05-07,South Bay,City of Lomita,40,192.97
12999,2020-05-07,Southeast,City of Lynwood,240,333.12
13000,2020-05-07,Santa Monica Mountains,City of Malibu,31,239.18
13001,2020-05-07,South Bay,City of Manhattan Beach,68,188.89
13002,2020-05-07,Southeast,City of Maywood,81,288.78
13003,2020-05-07,San Gabriel Valley,City of Monrovia,74,190.72
13004,2020-05-07,Southeast,City of Montebello,175,271.84
13005,2020-05-07,San Gabriel Valley,City of Monterey Park,95,152.58
13006,2020-05-07,Southeast,City of Norwalk,230,213.71
13007,2020-05-07,Antelope Valley,City of Palmdale,486,305.72
13008,2020-05-07,South Bay,City of Palos Verdes Estates,40,295.81
13009,2020-05-07,Southeast,City of Paramount,170,303.45
13010,2020-05-07,Southeast,City of Pico Rivera,241,374.9
13011,2020-05-07,Pomona Valley,City of Pomona,232,148.78
13012,2020-05-07,South Bay,City of Rancho Palos Verdes,74,173.11
13013,2020-05-07,South Bay,City of Redondo Beach,116,168.86
13014,2020-05-07,South Bay,City of Rolling Hills,2,103.09
13015,2020-05-07,South Bay,City of Rolling Hills Estates,13,160.24
13016,2020-05-07,San Gabriel Valley,City of Rosemead,47,84.91
13017,2020-05-07,San Gabriel Valley,City of San Dimas,31,89.81
13018,2020-05-07,San Fernando Valley,City of San Fernando,123,499.76
13019,2020-05-07,San Gabriel Valley,City of San Gabriel,42,102.55
13020,2020-05-07,San Gabriel Valley,City of San Marino,12,90.38
13021,2020-05-07,Northwest County,City of Santa Clarita,462,209.6
13022,2020-05-07,Southeast,City of Santa Fe Springs,31,168.81
13023,2020-05-07,Westside,City of Santa Monica,203,219.59
13024,2020-05-07,San Gabriel Valley,City of Sierra Madre,5,45.5
13025,2020-05-07,Harbor,City of Signal Hill,9,76.29
13026,2020-05-07,San Gabriel Valley,City of South El Monte,38,181.95
13027,2020-05-07,Southeast,City of South Gate,300,305.64
13028,2020-05-07,San Gabriel Valley,City of South Pasadena,100,383.83
13029,2020-05-07,San Gabriel Valley,City of Temple City,63,172.82
13030,2020-05-07,South Bay,City of Torrance,308,206.34
13031,2020-05-07,Southeast,City of Vernon,1,478.47
13032,2020-05-07,San Gabriel Valley,City of Walnut,25,81.88
13033,2020-05-07,San Gabriel Valley,City of West Covina,158,145.98
13034,2020-05-07,Central LA,City of West Hollywood,142,384.29
13035,2020-05-07,Santa Monica Mountains,City of Westlake Village,6,71.77
13036,2020-05-07,San Gabriel Valley,City of Whittier,162,185.29
13037,2020-05-07,,Los Angeles,14253,352.4
13038,2020-05-07,South LA,Los Angeles - Adams-Normandie,32,390.15
13039,2020-05-07,South LA,Los Angeles - Alsace,33,265.17
13040,2020-05-07,Angeles Forest,Los Angeles - Angeles National Forest,0,0.0
13041,2020-05-07,Central LA,Los Angeles - Angelino Heights,10,399.68
13042,2020-05-07,San Fernando Valley,Los Angeles - Arleta,147,427.7
13043,2020-05-07,Northeast LA,Los Angeles - Atwater Village,34,231.83
13044,2020-05-07,South LA,Los Angeles - Baldwin Hills,77,247.39
13045,2020-05-07,Westside,Los Angeles - Bel Air,31,367.78
13046,2020-05-07,Westside,Los Angeles - Beverly Crest,33,263.47
13047,2020-05-07,Westside,Los Angeles - Beverlywood,33,250.51
13048,2020-05-07,Eastside,Los Angeles - Boyle Heights,271,311.91
13049,2020-05-07,Westside,Los Angeles - Brentwood,67,216.44
13050,2020-05-07,Central LA,Los Angeles - Brookside,0,0.0
13051,2020-05-07,Central LA,Los Angeles - Cadillac-Corning,21,294.9
13052,2020-05-07,San Fernando Valley,Los Angeles - Canoga Park,362,554.46
13053,2020-05-07,Central LA,Los Angeles - Carthay,68,473.44
13054,2020-05-07,Central LA,Los Angeles - Central,171,438.55
13055,2020-05-07,Westside,Los Angeles - Century City,30,234.52
13056,2020-05-07,South LA,Los Angeles - Century Palms/Cove,117,346.5
13057,2020-05-07,San Fernando Valley,Los Angeles - Chatsworth,115,310.3
13058,2020-05-07,Westside,Los Angeles - Cheviot Hills,18,196.27
13059,2020-05-07,Central LA,Los Angeles - Chinatown,10,124.67
13060,2020-05-07,Central LA,Los Angeles - Cloverdale/Cochran,42,288.6
13061,2020-05-07,Central LA,Los Angeles - Country Club Park,74,488.35
13062,2020-05-07,South LA,Los Angeles - Crenshaw District,55,397.71
13063,2020-05-07,Central LA,Los Angeles - Crestview,70,615.76
13064,2020-05-07,Westside,Los Angeles - Del Rey,58,193.75
13065,2020-05-07,Central LA,Los Angeles - Downtown,82,298.11
13066,2020-05-07,Northeast LA,Los Angeles - Eagle Rock,106,267.75
13067,2020-05-07,Central LA,Los Angeles - East Hollywood,156,532.66
13068,2020-05-07,Central LA,Los Angeles - Echo Park,26,182.38
13069,2020-05-07,Eastside,Los Angeles - El Sereno,112,267.89
13070,2020-05-07,Central LA,Los Angeles - Elysian Park,10,175.07
13071,2020-05-07,Central LA,Los Angeles - Elysian Valley,26,255.63
13072,2020-05-07,San Fernando Valley,Los Angeles - Encino,96,212.52
13073,2020-05-07,South LA,Los Angeles - Exposition,5,150.33
13074,2020-05-07,Central LA,Los Angeles - Exposition Park,154,342.85
13075,2020-05-07,Central LA,Los Angeles - Faircrest Heights,4,111.11
13076,2020-05-07,South LA,Los Angeles - Figueroa Park Square,23,263.73
13077,2020-05-07,South LA,Los Angeles - Florence-Firestone,174,366.74
13078,2020-05-07,Northeast LA,Los Angeles - Glassell Park,125,395.52
13079,2020-05-07,South LA,Los Angeles - Gramercy Place,40,371.61
13080,2020-05-07,San Fernando Valley,Los Angeles - Granada Hills,145,249.18
13081,2020-05-07,South LA,Los Angeles - Green Meadows,86,399.91
13082,2020-05-07,Central LA,Los Angeles - Hancock Park,68,399.08
13083,2020-05-07,Harbor,Los Angeles - Harbor City,57,196.08
13084,2020-05-07,Harbor,Los Angeles - Harbor Gateway,80,183.49
13085,2020-05-07,Harbor,Los Angeles - Harbor Pines,2,83.02
13086,2020-05-07,Central LA,Los Angeles - Harvard Heights,72,399.22
13087,2020-05-07,South LA,Los Angeles - Harvard Park,169,445.5
13088,2020-05-07,Northeast LA,Los Angeles - Highland Park,106,219.05
13089,2020-05-07,Central LA,Los Angeles - Historic Filipinotown,77,555.16
13090,2020-05-07,Central LA,Los Angeles - Hollywood,206,301.81
13091,2020-05-07,Central LA,Los Angeles - Hollywood Hills,67,227.63
13092,2020-05-07,South LA,Los Angeles - Hyde Park,88,308.33
13093,2020-05-07,South LA,Los Angeles - Jefferson Park,23,284.9
13094,2020-05-07,Central LA,Los Angeles - Lafayette Square,14,307.08
13095,2020-05-07,San Fernando Valley,Los Angeles - Lake Balboa,129,305.64
13096,2020-05-07,San Fernando Valley,Los Angeles - Lakeview Terrace,66,502.55
13097,2020-05-07,South LA,Los Angeles - Leimert Park,36,236.3
13098,2020-05-07,Eastside,Los Angeles - Lincoln Heights,148,454.03
13099,2020-05-07,Central LA,Los Angeles - Little Armenia,151,1881.62
13100,2020-05-07,Central LA,Los Angeles - Little Bangladesh,87,306.95
13101,2020-05-07,Central LA,Los Angeles - Little Tokyo,8,255.35
13102,2020-05-07,Central LA,Los Angeles - Longwood,16,371.75
13103,2020-05-07,Central LA,Los Angeles - Los Feliz,36,166.6
13104,2020-05-07,South LA,Los Angeles - Manchester Square,16,187.44
13105,2020-05-07,Westside,Los Angeles - Mandeville Canyon,1,32.01
13106,2020-05-07,Westside,Los Angeles - Mar Vista,59,138.92
13107,2020-05-07,Westside,Los Angeles - Marina Peninsula,9,206.42
13108,2020-05-07,Central LA,Los Angeles - Melrose,400,514.83
13109,2020-05-07,Central LA,Los Angeles - Mid-city,43,286.09
13110,2020-05-07,Central LA,Los Angeles - Miracle Mile,37,205.73
13111,2020-05-07,San Fernando Valley,Los Angeles - Mission Hills,87,360.64
13112,2020-05-07,Northeast LA,Los Angeles - Mt. Washington,59,244.36
13113,2020-05-07,San Fernando Valley,Los Angeles - North Hills,224,363.78
13114,2020-05-07,San Fernando Valley,Los Angeles - North Hollywood,460,303.79
13115,2020-05-07,San Fernando Valley,Los Angeles - Northridge,206,295.14
13116,2020-05-07,Westside,Los Angeles - Pacific Palisades,39,183.18
13117,2020-05-07,San Fernando Valley,Los Angeles - Pacoima,388,504.03
13118,2020-05-07,Westside,Los Angeles - Palms,154,350.98
13119,2020-05-07,San Fernando Valley,Los Angeles - Panorama City,393,522.26
13120,2020-05-07,Central LA,Los Angeles - Park La Brea,13,95.73
13121,2020-05-07,Central LA,Los Angeles - Pico-Union,315,752.83
13122,2020-05-07,South Bay,Los Angeles - Playa Del Rey,1,31.29
13123,2020-05-07,Westside,Los Angeles - Playa Vista,20,182.7
13124,2020-05-07,San Fernando Valley,Los Angeles - Porter Ranch,64,179.84
13125,2020-05-07,Westside,Los Angeles - Rancho Park,12,182.93
13126,2020-05-07,Central LA,Los Angeles - Regent Square,3,107.91
13127,2020-05-07,San Fernando Valley,Los Angeles - Reseda,289,377.2
13128,2020-05-07,San Fernando Valley,Los Angeles - Reseda Ranch,23,496.12
13129,2020-05-07,Central LA,Los Angeles - Reynier Village,9,212.87
13130,2020-05-07,Harbor,Los Angeles - San Pedro,630,807.3
13131,2020-05-07,San Fernando Valley,Los Angeles - Shadow Hills,9,202.61
13132,2020-05-07,San Fernando Valley,Los Angeles - Sherman Oaks,159,182.23
13133,2020-05-07,Central LA,Los Angeles - Silverlake,130,294.9
13134,2020-05-07,Central LA,Los Angeles - South Carthay,25,235.96
13135,2020-05-07,South LA,Los Angeles - South Park,153,403.05
13136,2020-05-07,Central LA,Los Angeles - St Elmo Village,23,501.75
13137,2020-05-07,San Fernando Valley,Los Angeles - Studio City,57,254.01
13138,2020-05-07,San Fernando Valley,Los Angeles - Sun Valley,181,344.87
13139,2020-05-07,Verdugos,Los Angeles - Sunland,108,529.2
13140,2020-05-07,Central LA,Los Angeles - Sycamore Square,1,154.56
13141,2020-05-07,San Fernando Valley,Los Angeles - Sylmar,455,552.2
13142,2020-05-07,San Fernando Valley,Los Angeles - Tarzana,85,275.29
13143,2020-05-07,Central LA,Los Angeles - Temple-Beaudry,193,488.83
13144,2020-05-07,Central LA,Los Angeles - Thai Town,19,193.7
13145,2020-05-07,San Fernando Valley,Los Angeles - Toluca Lake,13,149.36
13146,2020-05-07,San Fernando Valley,Los Angeles - Toluca Terrace,2,153.14
13147,2020-05-07,San Fernando Valley,Los Angeles - Toluca Woods,3,161.46
13148,2020-05-07,Verdugos,Los Angeles - Tujunga,86,309.24
13149,2020-05-07,San Gabriel Valley,Los Angeles - University Hills,7,204.14
13150,2020-05-07,South LA,Los Angeles - University Park,101,367.86
13151,2020-05-07,San Fernando Valley,Los Angeles - Valley Glen,93,309.83
13152,2020-05-07,San Fernando Valley,Los Angeles - Valley Village,142,574.43
13153,2020-05-07,San Fernando Valley,Los Angeles - Van Nuys,411,441.02
13154,2020-05-07,Westside,Los Angeles - Venice,51,150.51
13155,2020-05-07,South LA,Los Angeles - Vermont Knolls,73,424.42
13156,2020-05-07,South LA,Los Angeles - Vermont Square,61,796.66
13157,2020-05-07,South LA,Los Angeles - Vermont Vista,164,398.19
13158,2020-05-07,South LA,Los Angeles - Vernon Central,280,538.48
13159,2020-05-07,Central LA,Los Angeles - Victoria Park,39,464.34
13160,2020-05-07,South LA,Los Angeles - View Heights,7,189.5
13161,2020-05-07,South LA,Los Angeles - Watts,134,314.01
13162,2020-05-07,Central LA,Los Angeles - Wellington Square,16,325.53
13163,2020-05-07,South LA,Los Angeles - West Adams,142,513.93
13164,2020-05-07,San Fernando Valley,Los Angeles - West Hills,69,170.18
13165,2020-05-07,Westside,Los Angeles - West Los Angeles,61,162.08
13166,2020-05-07,South LA,Los Angeles - West Vernon,255,475.36
13167,2020-05-07,South Bay,Los Angeles - Westchester,76,147.28
13168,2020-05-07,Central LA,Los Angeles - Westlake,334,562.72
13169,2020-05-07,Westside,Los Angeles - Westwood,55,101.65
13170,2020-05-07,Central LA,Los Angeles - Wholesale District,171,473.3
13171,2020-05-07,Harbor,Los Angeles - Wilmington,122,215.98
13172,2020-05-07,Central LA,Los Angeles - Wilshire Center,142,283.04
13173,2020-05-07,San Fernando Valley,Los Angeles - Winnetka,199,384.27
13174,2020-05-07,San Fernando Valley,Los Angeles - Woodland Hills,129,189.55
13175,2020-05-07,Antelope Valley,Unincorporated - Acton,8,100.36
13176,2020-05-07,Northwest County,Unincorporated - Agua Dulce,2,48.1
13177,2020-05-07,Verdugos,Unincorporated - Altadena,86,197.16
13178,2020-05-07,Antelope Valley,Unincorporated - Anaverde,1,66.31
13179,2020-05-07,Angeles Forest,Unincorporated - Angeles National Forest,0,0.0
13180,2020-05-07,San Gabriel Valley,Unincorporated - Arcadia,4,50.12
13181,2020-05-07,South LA,Unincorporated - Athens-Westmont,126,296.88
13182,2020-05-07,South LA,Unincorporated - Athens Village,16,326.73
13183,2020-05-07,San Gabriel Valley,Unincorporated - Avocado Heights,14,206.64
13184,2020-05-07,San Gabriel Valley,Unincorporated - Azusa,26,163.29
13185,2020-05-07,San Gabriel Valley,Unincorporated - Bassett,33,222.72
13186,2020-05-07,Northwest County,Unincorporated - Bouquet Canyon,0,0.0
13187,2020-05-07,San Gabriel Valley,Unincorporated - Bradbury,0,0.0
13188,2020-05-07,Northwest County,Unincorporated - Canyon Country,27,349.38
13189,2020-05-07,Northwest County,Unincorporated - Castaic,25,91.94
13190,2020-05-07,Southeast,Unincorporated - Cerritos,0,0.0
13191,2020-05-07,San Gabriel Valley,Unincorporated - Charter Oak,0,0.0
13192,2020-05-07,Pomona Valley,Unincorporated - Claremont,0,0.0
13193,2020-05-07,San Gabriel Valley,Unincorporated - Covina,30,178.37
13194,2020-05-07,South Bay,Unincorporated - Del Aire,10,227.63
13195,2020-05-07,Westside,Unincorporated - Del Rey,0,0.0
13196,2020-05-07,Antelope Valley,Unincorporated - Del Sur,2,82.82
13197,2020-05-07,Antelope Valley,Unincorporated - Desert View Highlands,4,160.45
13198,2020-05-07,San Gabriel Valley,Unincorporated - Duarte,10,225.84
13199,2020-05-07,San Gabriel Valley,Unincorporated - East Covina,0,0.0
13200,2020-05-07,Southeast,Unincorporated - East La Mirada,9,170.07
13201,2020-05-07,Antelope Valley,Unincorporated - East Lancaster,0,0.0
13202,2020-05-07,Eastside,Unincorporated - East Los Angeles,439,350.45
13203,2020-05-07,San Gabriel Valley,Unincorporated - East Pasadena,0,0.0
13204,2020-05-07,Harbor,Unincorporated - East Rancho Dominguez,26,169.85
13205,2020-05-07,Southeast,Unincorporated - East Whittier,4,75.39
13206,2020-05-07,South Bay,Unincorporated - El Camino Village,12,136.5
13207,2020-05-07,San Gabriel Valley,Unincorporated - El Monte,0,0.0
13208,2020-05-07,Northwest County,Unincorporated - Elizabeth Lake,1,60.2
13209,2020-05-07,South LA,Unincorporated - Florence-Firestone,275,425.01
13210,2020-05-07,Central LA,Unincorporated - Franklin Canyon,0,0.0
13211,2020-05-07,San Gabriel Valley,Unincorporated - Glendora,2,303.03
13212,2020-05-07,San Gabriel Valley,Unincorporated - Hacienda Heights,62,110.86
13213,2020-05-07,Harbor,Unincorporated - Harbor Gateway,0,0.0
13214,2020-05-07,South Bay,Unincorporated - Hawthorne,4,159.11
13215,2020-05-07,Antelope Valley,Unincorporated - Hi Vista,0,0.0
13216,2020-05-07,Angeles Forest,Unincorporated - Kagel/Lopez Canyons,1,70.82
13217,2020-05-07,Verdugos,Unincorporated - La Crescenta-Montrose,17,85.85
13218,2020-05-07,San Gabriel Valley,Unincorporated - La Habra Heights,0,0.0
13219,2020-05-07,Harbor,Unincorporated - La Rambla,6,289.16
13220,2020-05-07,Pomona Valley,Unincorporated - La Verne,2,98.04
13221,2020-05-07,Westside,Unincorporated - Ladera Heights,17,240.42
13222,2020-05-07,Northwest County,Unincorporated - Lake Hughes,0,0.0
13223,2020-05-07,Antelope Valley,Unincorporated - Lake Los Angeles,24,184.7
13224,2020-05-07,San Fernando Valley,Unincorporated - Lake Manor,3,182.59
13225,2020-05-07,Harbor,Unincorporated - Lakewood,0,0.0
13226,2020-05-07,South Bay,Unincorporated - Lennox,63,279.48
13227,2020-05-07,Antelope Valley,Unincorporated - Leona Valley,1,57.11
13228,2020-05-07,Antelope Valley,Unincorporated - Littlerock,11,273.56
13229,2020-05-07,Antelope Valley,Unincorporated - Littlerock/Juniper Hills,1,77.1
13230,2020-05-07,Antelope Valley,Unincorporated - Littlerock/Pearblossom,7,196.13
