,Date,Region,Area,Cases,"Cases per 100,000"
137,2020-03-30,South LA,Los Angeles - Harvard Park,3,7.57
138,2020-03-30,Northeast LA,Los Angeles - Highland Park,9,18.68
139,2020-03-30,Central LA,Los Angeles - Historic Filipinotown,0,0.0
140,2020-03-30,Central LA,Los Angeles - Hollywood,49,75.45
141,2020-03-30,Central LA,Los Angeles - Hollywood Hills,26,90.04
142,2020-03-30,South LA,Los Angeles - Hyde Park,6,20.42
143,2020-03-30,South LA,Los Angeles - Jefferson Park,0,0.0
144,2020-03-30,Central LA,Los Angeles - Koreatown,13,24.71
145,2020-03-30,Central LA,Los Angeles - Lafayette Square,,
146,2020-03-30,San Fernando Valley,Los Angeles - Lake Balboa,11,26.4
147,2020-03-30,San Fernando Valley,Los Angeles - Lakeview Terrace,,
148,2020-03-30,South LA,Los Angeles - Leimert Park,,
149,2020-03-30,Eastside,Los Angeles - Lincoln Heights,2,6.05
150,2020-03-30,Central LA,Los Angeles - Little Armenia,0,0.0
151,2020-03-30,Central LA,Los Angeles - Little Bangladesh,5,17.2
152,2020-03-30,Central LA,Los Angeles - Little Tokyo,,
153,2020-03-30,Central LA,Los Angeles - Longwood,,
154,2020-03-30,Central LA,Los Angeles - Los Feliz,11,51.55
155,2020-03-30,South LA,Los Angeles - Manchester Square,,
156,2020-03-30,Westside,Los Angeles - Mandeville Canyon,,
157,2020-03-30,Westside,Los Angeles - Mar Vista,13,31.03
158,2020-03-30,Westside,Los Angeles - Marina Peninsula,,
159,2020-03-30,Central LA,Los Angeles - Melrose,82,105.62
160,2020-03-30,Central LA,Los Angeles - Mid-city,10,66.39
161,2020-03-30,Central LA,Los Angeles - Miracle Mile,10,56.6
162,2020-03-30,San Fernando Valley,Los Angeles - Mission Hills,6,25.03
163,2020-03-30,Northeast LA,Los Angeles - Mt. Washington,,
164,2020-03-30,San Fernando Valley,Los Angeles - North Hills,7,11.49
165,2020-03-30,San Fernando Valley,Los Angeles - North Hollywood,34,22.46
166,2020-03-30,San Fernando Valley,Los Angeles - Northridge,8,11.81
167,2020-03-30,Westside,Los Angeles - Pacific Palisades,18,86.94
168,2020-03-30,San Fernando Valley,Los Angeles - Pacoima,4,5.0
169,2020-03-30,Westside,Los Angeles - Palisades Highlands,,
170,2020-03-30,Westside,Los Angeles - Palms,21,46.5
171,2020-03-30,San Fernando Valley,Los Angeles - Panorama City,7,9.21
172,2020-03-30,Central LA,Los Angeles - Park La Brea,,
173,2020-03-30,Central LA,Los Angeles - Pico-Union,5,11.74
174,2020-03-30,South Bay,Los Angeles - Playa Del Rey,,
175,2020-03-30,Westside,Los Angeles - Playa Vista,5,50.08
176,2020-03-30,San Fernando Valley,Los Angeles - Porter Ranch,6,18.07
177,2020-03-30,Westside,Los Angeles - Rancho Park,,
178,2020-03-30,Central LA,Los Angeles - Regent Square,,
179,2020-03-30,San Fernando Valley,Los Angeles - Reseda,20,26.4
180,2020-03-30,San Fernando Valley,Los Angeles - Reseda Ranch,,
181,2020-03-30,Central LA,Los Angeles - Reynier Village,,
182,2020-03-30,Harbor,Los Angeles - San Pedro,11,14.14
183,2020-03-30,San Fernando Valley,Los Angeles - Shadow Hills,,
184,2020-03-30,San Fernando Valley,Los Angeles - Sherman Oaks,32,37.66
185,2020-03-30,Central LA,Los Angeles - Silverlake,18,41.68
186,2020-03-30,Central LA,Los Angeles - South Carthay,8,75.5
187,2020-03-30,South LA,Los Angeles - South Park,4,10.23
188,2020-03-30,Central LA,Los Angeles - St Elmo Village,0,0.0
189,2020-03-30,San Fernando Valley,Los Angeles - Studio City,15,70.08
190,2020-03-30,San Fernando Valley,Los Angeles - Sun Valley,6,10.87
191,2020-03-30,Verdugos,Los Angeles - Sunland,,
192,2020-03-30,Central LA,Los Angeles - Sycamore Square,0,0.0
193,2020-03-30,San Fernando Valley,Los Angeles - Sylmar,18,21.75
194,2020-03-30,San Fernando Valley,Los Angeles - Tarzana,24,79.4
195,2020-03-30,Central LA,Los Angeles - Temple-Beaudry,8,20.52
196,2020-03-30,Central LA,Los Angeles - Thai Town,,
197,2020-03-30,San Fernando Valley,Los Angeles - Toluca Lake,,
198,2020-03-30,San Fernando Valley,Los Angeles - Toluca Terrace,0,0.0
199,2020-03-30,San Fernando Valley,Los Angeles - Toluca Woods,0,0.0
200,2020-03-30,Verdugos,Los Angeles - Tujunga,4,14.2
201,2020-03-30,San Gabriel Valley,Los Angeles - University Hills,0,0.0
202,2020-03-30,South LA,Los Angeles - University Park,6,22.29
203,2020-03-30,San Fernando Valley,Los Angeles - Valley Glen,4,13.4
204,2020-03-30,San Fernando Valley,Los Angeles - Valley Village,19,81.1
205,2020-03-30,San Fernando Valley,Los Angeles - Van Nuys,10,10.77
206,2020-03-30,Westside,Los Angeles - Venice,18,52.73
207,2020-03-30,South LA,Los Angeles - Vermont Knolls,,
208,2020-03-30,South LA,Los Angeles - Vermont Square,,
209,2020-03-30,South LA,Los Angeles - Vernon Central,4,7.39
210,2020-03-30,Central LA,Los Angeles - Victoria Park,,
211,2020-03-30,South LA,Los Angeles - View Heights,,
