Date,Region,Cases,Case Rate,dt[Cases],dt[Case Rate]
2020-04-12,Santa Monica Mountains,71,95.01,1,1.47
2020-04-12,South Bay,755,97.33,28,3.61
2020-04-12,South LA,749,88.84,14,1.66
2020-04-12,Southeast,891,71.98,18,1.57
2020-04-12,Verdugos,478,141.08,17,5.02
2020-04-12,Westside,668,118.71,4,0.71
2020-04-13,Angeles Forest,0,0.0,0,0.0
2020-04-13,Antelope Valley,197,47.61,1,0.43
2020-04-13,Central LA,1325,152.94,34,4.07
2020-04-13,Eastside,208,73.85,7,2.95
2020-04-13,Harbor,679,172.53,14,2.46
2020-04-13,Northeast LA,158,93.73,6,3.56
2020-04-13,Northwest County,184,66.34,7,2.65
2020-04-13,Pomona Valley,70,30.64,2,0.87
2020-04-13,San Fernando Valley,1491,90.85,46,2.89
2020-04-13,San Gabriel Valley,578,39.14,20,1.36
2020-04-13,Santa Monica Mountains,74,97.93,3,2.92
2020-04-13,South Bay,774,99.77,19,2.44
2020-04-13,South LA,779,92.4,30,3.56
2020-04-13,Southeast,918,73.91,27,1.93
2020-04-13,Verdugos,488,144.03,10,2.95
2020-04-13,Westside,675,119.95,7,1.24
2020-04-14,Angeles Forest,0,0.0,0,0.0
2020-04-14,Antelope Valley,211,51.94,14,4.33
2020-04-14,Central LA,1392,160.46,67,7.52
2020-04-14,Eastside,225,79.27,17,5.42
2020-04-14,Harbor,708,180.49,29,7.96
2020-04-14,Northeast LA,179,106.19,21,12.46
2020-04-14,Northwest County,191,69.0,7,2.66
2020-04-14,Pomona Valley,78,34.14,8,3.5
2020-04-14,San Fernando Valley,1588,96.76,97,5.91
2020-04-14,San Gabriel Valley,626,42.39,48,3.25
2020-04-14,Santa Monica Mountains,78,103.78,4,5.85
2020-04-14,South Bay,812,104.67,38,4.9
2020-04-14,South LA,846,100.35,67,7.95
2020-04-14,Southeast,992,79.86,74,5.95
2020-04-14,Verdugos,556,164.1,68,20.07
2020-04-14,Westside,687,122.09,12,2.14
2020-04-15,Angeles Forest,0,0.0,0,0.0
2020-04-15,Antelope Valley,229,59.73,18,7.79
2020-04-15,Central LA,1448,166.92,56,6.46
