,Date,Region,Cases,Case Rate,dt[Cases],dt[Case Rate]
237,2020-04-13,Southeast,918,73.91,27,1.9299999999999926
238,2020-04-13,Verdugos,488,101.65,10,2.0800000000000125
239,2020-04-13,Westside,675,119.95,7,1.240000000000009
240,2020-04-14,Angeles Forest,0,0.0,0,0.0
241,2020-04-14,Antelope Valley,211,51.94,14,4.329999999999998
242,2020-04-14,Central LA,1392,160.46,67,7.52000000000001
243,2020-04-14,Eastside,225,79.27,17,5.420000000000002
244,2020-04-14,Harbor,708,78.95,29,3.480000000000004
245,2020-04-14,Northeast LA,179,106.19,21,12.459999999999994
246,2020-04-14,Northwest County,191,69.0,7,2.6599999999999966
247,2020-04-14,Pomona Valley,78,34.14,8,3.5
248,2020-04-14,San Fernando Valley,1588,96.76,97,5.910000000000011
249,2020-04-14,San Gabriel Valley,626,42.39,48,3.25
250,2020-04-14,Santa Monica Mountains,78,103.78,4,5.849999999999994
251,2020-04-14,South Bay,812,104.67,38,4.900000000000006
252,2020-04-14,South LA,846,100.35,67,7.949999999999989
253,2020-04-14,Southeast,992,79.86,74,5.950000000000003
254,2020-04-14,Verdugos,556,115.82,68,14.169999999999987
255,2020-04-14,Westside,687,122.09,12,2.1400000000000006
256,2020-04-15,Angeles Forest,0,0.0,0,0.0
257,2020-04-15,Antelope Valley,229,59.73,18,7.789999999999999
258,2020-04-15,Central LA,1448,166.92,56,6.4599999999999795
259,2020-04-15,Eastside,236,84.69,11,5.420000000000002
260,2020-04-15,Harbor,740,82.19,32,3.239999999999995
261,2020-04-15,Northeast LA,187,110.94,8,4.75
262,2020-04-15,Northwest County,200,72.41,9,3.4099999999999966
263,2020-04-15,Pomona Valley,80,35.02,2,0.8800000000000026
264,2020-04-15,San Fernando Valley,1679,102.27,91,5.509999999999991
265,2020-04-15,San Gabriel Valley,662,44.83,36,2.4399999999999977
266,2020-04-15,Santa Monica Mountains,78,103.78,0,0.0
267,2020-04-15,South Bay,838,108.02,26,3.3499999999999943
268,2020-04-15,South LA,897,106.4,51,6.050000000000011
269,2020-04-15,Southeast,1046,84.14,54,4.280000000000001
270,2020-04-15,Verdugos,587,122.27,31,6.450000000000003
271,2020-04-15,Westside,700,124.4,13,2.3100000000000023
272,2020-04-16,Angeles Forest,0,0.0,0,0.0
273,2020-04-16,Antelope Valley,238,61.46,9,1.730000000000004
274,2020-04-16,Central LA,1502,172.77,54,5.850000000000023
275,2020-04-16,Eastside,250,90.59,14,5.900000000000006
276,2020-04-16,Harbor,768,85.19,28,3.0
277,2020-04-16,Northeast LA,190,112.72,3,1.7800000000000011
278,2020-04-16,Northwest County,213,77.34,13,4.930000000000007
279,2020-04-16,Pomona Valley,85,37.21,5,2.1899999999999977
280,2020-04-16,San Fernando Valley,1737,105.62,58,3.3500000000000085
281,2020-04-16,San Gabriel Valley,687,46.52,25,1.6900000000000048
282,2020-04-16,Santa Monica Mountains,78,103.78,0,0.0
283,2020-04-16,South Bay,859,110.73,21,2.710000000000008
284,2020-04-16,South LA,923,109.48,26,3.0799999999999983
285,2020-04-16,Southeast,1117,89.48,71,5.340000000000003
286,2020-04-16,Verdugos,603,125.61,16,3.3400000000000034
287,2020-04-16,Westside,711,126.35,11,1.9499999999999886
288,2020-04-17,Angeles Forest,0,0.0,0,0.0
289,2020-04-17,Antelope Valley,260,68.39,22,6.93
290,2020-04-17,Central LA,1561,179.34,59,6.569999999999993
291,2020-04-17,Eastside,256,94.04,6,3.450000000000003
292,2020-04-17,Harbor,817,89.63,49,4.439999999999998
293,2020-04-17,Northeast LA,199,118.05,9,5.329999999999998
294,2020-04-17,Northwest County,224,81.51,11,4.170000000000002
295,2020-04-17,Pomona Valley,93,40.71,8,3.5
296,2020-04-17,San Fernando Valley,1832,111.2,95,5.579999999999998
297,2020-04-17,San Gabriel Valley,739,50.04,52,3.519999999999996
298,2020-04-17,Santa Monica Mountains,81,108.16,3,4.3799999999999955
299,2020-04-17,South Bay,897,115.63,38,4.8999999999999915
300,2020-04-17,South LA,987,117.08,64,7.599999999999994
301,2020-04-17,Southeast,1188,95.16,71,5.679999999999993
302,2020-04-17,Verdugos,647,134.77,44,9.16000000000001
303,2020-04-17,Westside,723,128.48,12,2.1299999999999955
304,2020-04-18,Angeles Forest,0,0.0,0,0.0
305,2020-04-18,Antelope Valley,289,75.75,29,7.359999999999999
306,2020-04-18,Central LA,1660,190.45,99,11.109999999999985
307,2020-04-18,Eastside,273,100.44,17,6.3999999999999915
308,2020-04-18,Harbor,859,94.07,42,4.439999999999998
309,2020-04-18,Northeast LA,208,123.39,9,5.340000000000003
310,2020-04-18,Northwest County,234,84.92,10,3.4099999999999966
311,2020-04-18,Pomona Valley,97,42.46,4,1.75
312,2020-04-18,San Fernando Valley,1946,118.23,114,7.030000000000001
313,2020-04-18,San Gabriel Valley,784,53.09,45,3.0500000000000043
314,2020-04-18,Santa Monica Mountains,84,112.55,3,4.390000000000001
315,2020-04-18,South Bay,933,120.27,36,4.640000000000001
316,2020-04-18,South LA,1053,124.9,66,7.820000000000007
