Date,Region,Area,Cases,Case Rate,CF Outbreak
2020-06-08,South Bay,Unincorporated - Wiseburn,20,331.84,False
2020-06-08,Harbor,City of Long Beach,2227,474.96,False
2020-06-08,Verdugos,City of Pasadena,987,698.78,False
2020-06-09,Santa Monica Mountains,City of Agoura Hills,36,172.39,False
2020-06-09,San Gabriel Valley,City of Alhambra,252,290.58,False
2020-06-09,San Gabriel Valley,City of Arcadia,102,176.61,False
2020-06-09,Southeast,City of Artesia,48,285.8,False
2020-06-09,Harbor,City of Avalon,0,0.0,False
2020-06-09,San Gabriel Valley,City of Azusa,231,461.63,False
2020-06-09,San Gabriel Valley,City of Baldwin Park,419,545.79,False
2020-06-09,Southeast,City of Bell,426,1172.52,False
2020-06-09,Southeast,City of Bell Gardens,393,912.45,False
2020-06-09,Southeast,City of Bellflower,492,632.92,False
2020-06-09,Westside,City of Beverly Hills,150,434.53,False
2020-06-09,San Gabriel Valley,City of Bradbury,4,374.18,False
2020-06-09,San Fernando Valley,City of Burbank,424,395.6,False
2020-06-09,Santa Monica Mountains,City of Calabasas,94,386.47,False
2020-06-09,Harbor,City of Carson,493,525.33,False
2020-06-09,Southeast,City of Cerritos,141,281.62,False
2020-06-09,Pomona Valley,City of Claremont,60,164.46,False
2020-06-09,Southeast,City of Commerce,95,726.91,True
2020-06-09,Southeast,City of Compton,816,816.78,False
2020-06-09,San Gabriel Valley,City of Covina,218,444.61,False
2020-06-09,Southeast,City of Cudahy,303,1244.51,False
2020-06-09,Westside,City of Culver City,163,408.88,False
2020-06-09,San Gabriel Valley,City of Diamond Bar,81,140.83,False
2020-06-09,Southeast,City of Downey,900,787.66,False
2020-06-09,San Gabriel Valley,City of Duarte,138,626.82,False
2020-06-09,San Gabriel Valley,City of El Monte,756,644.67,False
2020-06-09,South Bay,City of El Segundo,37,220.42,False
2020-06-09,South Bay,City of Gardena,320,521.94,False
2020-06-09,Verdugos,City of Glendale,1071,518.66,False
2020-06-09,San Gabriel Valley,City of Glendora,172,325.98,False
2020-06-09,Harbor,City of Hawaiian Gardens,99,674.57,False
2020-06-09,South Bay,City of Hawthorne,459,516.97,False
2020-06-09,South Bay,City of Hermosa Beach,36,183.02,False
2020-06-09,Santa Monica Mountains,City of Hidden Hills,3,158.73,False
2020-06-09,Southeast,City of Huntington Park,653,1097.77,False
2020-06-09,San Gabriel Valley,City of Industry,11,2517.16,False
2020-06-09,South Bay,City of Inglewood,707,622.46,False
2020-06-09,San Gabriel Valley,City of Irwindale,5,342.7,False
2020-06-09,Verdugos,City of La Canada Flintridge,55,265.79,False
2020-06-09,San Gabriel Valley,City of La Habra Heights,11,201.65,False
2020-06-09,Southeast,City of La Mirada,216,435.49,False
2020-06-09,San Gabriel Valley,City of La Puente,174,427.55,False
2020-06-09,Pomona Valley,City of La Verne,35,105.16,False
2020-06-09,Harbor,City of Lakewood,247,307.36,False
2020-06-09,Antelope Valley,City of Lancaster,692,428.3,True
2020-06-09,South Bay,City of Lawndale,143,425.42,False
2020-06-09,South Bay,City of Lomita,53,255.68,False
2020-06-09,Southeast,City of Lynwood,794,1102.06,True
2020-06-09,Santa Monica Mountains,City of Malibu,39,300.9,False
2020-06-09,South Bay,City of Manhattan Beach,83,230.56,False
2020-06-09,Southeast,City of Maywood,369,1315.55,False
2020-06-09,San Gabriel Valley,City of Monrovia,174,448.45,False
2020-06-09,Southeast,City of Montebello,492,764.27,False
2020-06-09,San Gabriel Valley,City of Monterey Park,200,321.22,False
2020-06-09,Southeast,City of Norwalk,638,592.82,False
2020-06-09,Antelope Valley,City of Palmdale,842,529.67,False
2020-06-09,South Bay,City of Palos Verdes Estates,43,318.0,False
2020-06-09,Southeast,City of Paramount,456,813.95,False
2020-06-09,Southeast,City of Pico Rivera,632,983.14,False
2020-06-09,Pomona Valley,City of Pomona,705,452.12,False
2020-06-09,South Bay,City of Rancho Palos Verdes,99,231.6,False
2020-06-09,South Bay,City of Redondo Beach,151,219.81,False
2020-06-09,South Bay,City of Rolling Hills,2,103.09,False
2020-06-09,South Bay,City of Rolling Hills Estates,14,172.56,False
2020-06-09,San Gabriel Valley,City of Rosemead,147,265.58,False
2020-06-09,San Gabriel Valley,City of San Dimas,79,228.88,False
2020-06-09,San Fernando Valley,City of San Fernando,230,934.5,False
2020-06-09,San Gabriel Valley,City of San Gabriel,166,405.33,False
2020-06-09,San Gabriel Valley,City of San Marino,24,180.76,False
2020-06-09,Northwest County,City of Santa Clarita,847,384.26,False
2020-06-09,Southeast,City of Santa Fe Springs,89,484.64,False
2020-06-09,Westside,City of Santa Monica,312,337.49,False
2020-06-09,San Gabriel Valley,City of Sierra Madre,14,127.4,False
2020-06-09,Harbor,City of Signal Hill,40,339.07,False
2020-06-09,San Gabriel Valley,City of South El Monte,129,617.67,False
2020-06-09,Southeast,City of South Gate,884,900.62,False
2020-06-09,San Gabriel Valley,City of South Pasadena,136,522.01,False
2020-06-09,San Gabriel Valley,City of Temple City,180,493.76,False
2020-06-09,South Bay,City of Torrance,417,279.36,False
2020-06-09,Southeast,City of Vernon,21,10047.85,False
2020-06-09,San Gabriel Valley,City of Walnut,54,176.86,False
2020-06-09,San Gabriel Valley,City of West Covina,469,433.32,False
2020-06-09,Central LA,City of West Hollywood,193,522.31,False
2020-06-09,Santa Monica Mountains,City of Westlake Village,6,71.77,False
2020-06-09,San Gabriel Valley,City of Whittier,395,451.78,False
2020-06-09,,Los Angeles,30500,754.09,False
2020-06-09,South LA,Los Angeles - Adams-Normandie,60,731.53,False
2020-06-09,South LA,Los Angeles - Alsace,63,506.23,False
2020-06-09,Angeles Forest,Los Angeles - Angeles National Forest,0,0.0,False
2020-06-09,Central LA,Los Angeles - Angelino Heights,21,839.33,False
2020-06-09,San Fernando Valley,Los Angeles - Arleta,309,899.04,False
2020-06-09,Northeast LA,Los Angeles - Atwater Village,52,354.56,False
2020-06-09,South LA,Los Angeles - Baldwin Hills,189,607.23,False
2020-06-09,Westside,Los Angeles - Bel Air,38,450.82,False
2020-06-09,Westside,Los Angeles - Beverly Crest,37,295.41,False
2020-06-09,Westside,Los Angeles - Beverlywood,39,296.06,False
2020-06-09,Eastside,Los Angeles - Boyle Heights,981,1129.09,True
2020-06-09,Westside,Los Angeles - Brentwood,86,277.82,False
2020-06-09,Central LA,Los Angeles - Brookside,0,0.0,False
2020-06-09,Central LA,Los Angeles - Cadillac-Corning,34,477.46,False
2020-06-09,San Fernando Valley,Los Angeles - Canoga Park,576,882.23,False
2020-06-09,Central LA,Los Angeles - Carthay,93,647.5,False
2020-06-09,South LA,Los Angeles - Central,568,1456.71,False
2020-06-09,Westside,Los Angeles - Century City,39,304.88,False
2020-06-09,South LA,Los Angeles - Century Palms/Cove,381,1128.35,False
2020-06-09,San Fernando Valley,Los Angeles - Chatsworth,219,590.92,False
2020-06-09,Westside,Los Angeles - Cheviot Hills,22,239.89,False
2020-06-09,Central LA,Los Angeles - Chinatown,29,361.55,False
2020-06-09,Central LA,Los Angeles - Cloverdale/Cochran,88,604.69,False
2020-06-09,Central LA,Los Angeles - Country Club Park,111,732.53,False
2020-06-09,South LA,Los Angeles - Crenshaw District,86,621.88,False
2020-06-09,Central LA,Los Angeles - Crestview,96,844.48,False
2020-06-09,Westside,Los Angeles - Del Rey,88,293.96,False
2020-06-09,Central LA,Los Angeles - Downtown,175,636.2,True
2020-06-09,Northeast LA,Los Angeles - Eagle Rock,205,517.82,False
2020-06-09,Central LA,Los Angeles - East Hollywood,245,836.55,False
2020-06-09,Central LA,Los Angeles - Echo Park,55,385.8,False
2020-06-09,Eastside,Los Angeles - El Sereno,224,535.78,False
2020-06-09,Central LA,Los Angeles - Elysian Park,16,280.11,False
2020-06-09,Northeast LA,Los Angeles - Elysian Valley,67,658.74,False
2020-06-09,San Fernando Valley,Los Angeles - Encino,150,332.06,False
2020-06-09,South LA,Los Angeles - Exposition,14,420.93,False
2020-06-09,South LA,Los Angeles - Exposition Park,314,699.07,False
2020-06-09,Central LA,Los Angeles - Faircrest Heights,7,194.44,False
2020-06-09,South LA,Los Angeles - Figueroa Park Square,50,573.33,False
2020-06-09,South LA,Los Angeles - Florence-Firestone,545,1148.7,False
2020-06-09,Northeast LA,Los Angeles - Glassell Park,201,636.0,False
2020-06-09,South LA,Los Angeles - Gramercy Place,82,761.8,False
2020-06-09,San Fernando Valley,Los Angeles - Granada Hills,399,685.67,False
2020-06-09,South LA,Los Angeles - Green Meadows,216,1004.42,False
2020-06-09,Central LA,Los Angeles - Hancock Park,87,510.59,False
2020-06-09,Harbor,Los Angeles - Harbor City,129,443.76,False
2020-06-09,Harbor,Los Angeles - Harbor Gateway,178,408.26,False
2020-06-09,Harbor,Los Angeles - Harbor Pines,9,373.6,False
2020-06-09,Central LA,Los Angeles - Harvard Heights,166,920.43,False
2020-06-09,South LA,Los Angeles - Harvard Park,395,1041.25,False
2020-06-09,Northeast LA,Los Angeles - Highland Park,266,549.69,False
2020-06-09,Central LA,Los Angeles - Historic Filipinotown,161,1160.78,False
2020-06-09,Central LA,Los Angeles - Hollywood,304,445.4,False
2020-06-09,Central LA,Los Angeles - Hollywood Hills,87,295.58,False
2020-06-09,South LA,Los Angeles - Hyde Park,180,630.67,False
2020-06-09,South LA,Los Angeles - Jefferson Park,54,668.9,False
2020-06-09,Central LA,Los Angeles - Koreatown,347,671.27,False
2020-06-09,Central LA,Los Angeles - Lafayette Square,23,504.5,False
2020-06-09,San Fernando Valley,Los Angeles - Lake Balboa,233,552.05,False
2020-06-09,San Fernando Valley,Los Angeles - Lakeview Terrace,127,967.03,False
2020-06-09,South LA,Los Angeles - Leimert Park,67,439.78,False
2020-06-09,Eastside,Los Angeles - Lincoln Heights,327,1003.16,False
2020-06-09,Central LA,Los Angeles - Little Armenia,218,2716.51,False
2020-06-09,Central LA,Los Angeles - Little Bangladesh,169,596.27,False
2020-06-09,Central LA,Los Angeles - Little Tokyo,33,1053.3,False
2020-06-09,Central LA,Los Angeles - Longwood,27,627.32,False
2020-06-09,Central LA,Los Angeles - Los Feliz,59,273.05,False
2020-06-09,South LA,Los Angeles - Manchester Square,29,339.74,False
2020-06-09,Westside,Los Angeles - Mandeville Canyon,3,96.03,False
2020-06-09,Westside,Los Angeles - Mar Vista,90,211.91,False
2020-06-09,Westside,Los Angeles - Marina Peninsula,15,344.04,False
2020-06-09,Central LA,Los Angeles - Melrose,640,823.72,False
2020-06-09,Central LA,Los Angeles - Mid-city,125,831.67,False
2020-06-09,Central LA,Los Angeles - Miracle Mile,46,255.77,False
2020-06-09,San Fernando Valley,Los Angeles - Mission Hills,184,762.73,False
2020-06-09,Northeast LA,Los Angeles - Mt. Washington,116,480.43,False
2020-06-09,San Fernando Valley,Los Angeles - North Hills,544,883.48,False
2020-06-09,San Fernando Valley,Los Angeles - North Hollywood,829,547.48,False
2020-06-09,San Fernando Valley,Los Angeles - Northridge,408,584.55,False
2020-06-09,Westside,Los Angeles - Pacific Palisades,61,286.51,False
2020-06-09,San Fernando Valley,Los Angeles - Pacoima,897,1165.25,False
2020-06-09,Westside,Los Angeles - Palisades Highlands,5,130.01,False
2020-06-09,Westside,Los Angeles - Palms,206,469.49,False
2020-06-09,San Fernando Valley,Los Angeles - Panorama City,943,1253.16,False
2020-06-09,Central LA,Los Angeles - Park La Brea,22,162.0,False
2020-06-09,Central LA,Los Angeles - Pico-Union,685,1637.11,False
2020-06-09,South Bay,Los Angeles - Playa Del Rey,3,93.87,False
2020-06-09,Westside,Los Angeles - Playa Vista,32,292.32,False
2020-06-09,San Fernando Valley,Los Angeles - Porter Ranch,97,272.56,False
2020-06-09,Westside,Los Angeles - Rancho Park,19,289.63,False
2020-06-09,Central LA,Los Angeles - Regent Square,5,179.86,False
2020-06-09,San Fernando Valley,Los Angeles - Reseda,712,929.3,False
2020-06-09,San Fernando Valley,Los Angeles - Reseda Ranch,31,668.68,False
2020-06-09,Central LA,Los Angeles - Reynier Village,13,307.47,False
2020-06-09,Harbor,Los Angeles - San Pedro,972,1245.55,True
2020-06-09,San Fernando Valley,Los Angeles - Shadow Hills,11,247.64,False
2020-06-09,San Fernando Valley,Los Angeles - Sherman Oaks,272,311.73,False
2020-06-09,Central LA,Los Angeles - Silverlake,216,489.98,False
2020-06-09,Central LA,Los Angeles - South Carthay,39,368.1,False
2020-06-09,South LA,Los Angeles - South Park,531,1398.8,False
2020-06-09,Central LA,Los Angeles - St Elmo Village,48,1047.12,False
2020-06-09,San Fernando Valley,Los Angeles - Studio City,89,396.61,False
2020-06-09,San Fernando Valley,Los Angeles - Sun Valley,364,693.56,False
2020-06-09,Verdugos,Los Angeles - Sunland,166,813.41,False
2020-06-09,Central LA,Los Angeles - Sycamore Square,1,154.56,False
2020-06-09,San Fernando Valley,Los Angeles - Sylmar,917,1112.89,True
2020-06-09,San Fernando Valley,Los Angeles - Tarzana,270,874.47,False
2020-06-09,Central LA,Los Angeles - Temple-Beaudry,380,962.46,False
2020-06-09,Central LA,Los Angeles - Thai Town,37,377.2,False
2020-06-09,San Fernando Valley,Los Angeles - Toluca Lake,21,241.27,False
2020-06-09,San Fernando Valley,Los Angeles - Toluca Terrace,8,612.56,False
2020-06-09,San Fernando Valley,Los Angeles - Toluca Woods,3,161.46,False
2020-06-09,Verdugos,Los Angeles - Tujunga,135,485.44,False
2020-06-09,Eastside,Los Angeles - University Hills,15,437.45,False
2020-06-09,South LA,Los Angeles - University Park,249,906.91,False
2020-06-09,San Fernando Valley,Los Angeles - Valley Glen,159,529.72,False
2020-06-09,San Fernando Valley,Los Angeles - Valley Village,231,934.47,False
2020-06-09,San Fernando Valley,Los Angeles - Van Nuys,880,944.27,False
2020-06-09,Westside,Los Angeles - Venice,73,215.43,False
2020-06-09,South LA,Los Angeles - Vermont Knolls,199,1156.98,False
2020-06-09,South LA,Los Angeles - Vermont Square,96,1253.75,False
2020-06-09,South LA,Los Angeles - Vermont Vista,457,1109.6,False
2020-06-09,South LA,Los Angeles - Vernon Central,801,1540.44,False
2020-06-09,Central LA,Los Angeles - Victoria Park,64,762.0,False
2020-06-09,South LA,Los Angeles - View Heights,10,270.71,False
2020-06-09,South LA,Los Angeles - Watts,404,946.71,False
2020-06-09,Central LA,Los Angeles - Wellington Square,30,610.38,False
2020-06-09,South LA,Los Angeles - West Adams,288,1042.35,False
2020-06-09,San Fernando Valley,Los Angeles - West Hills,159,392.16,False
2020-06-09,Westside,Los Angeles - West Los Angeles,93,247.1,False
2020-06-09,South LA,Los Angeles - West Vernon,611,1138.99,False
2020-06-09,South Bay,Los Angeles - Westchester,111,215.1,False
2020-06-09,Central LA,Los Angeles - Westlake,930,1566.84,False
2020-06-09,Westside,Los Angeles - Westwood,83,153.39,False
2020-06-09,Central LA,Los Angeles - Wholesale District,1136,3144.29,True
2020-06-09,Harbor,Los Angeles - Wilmington,342,605.45,False
2020-06-09,Central LA,Los Angeles - Wilshire Center,291,580.03,False
2020-06-09,San Fernando Valley,Los Angeles - Winnetka,345,666.2,False
2020-06-09,San Fernando Valley,Los Angeles - Woodland Hills,191,280.66,False
2020-06-09,Antelope Valley,Unincorporated - Acton,15,188.18,False
2020-06-09,Northwest County,Unincorporated - Agua Dulce,10,240.5,False
2020-06-09,Verdugos,Unincorporated - Altadena,173,396.61,False
2020-06-09,Antelope Valley,Unincorporated - Anaverde,2,132.63,False
2020-06-09,Angeles Forest,Unincorporated - Angeles National Forest,2,160.64,False
2020-06-09,San Gabriel Valley,Unincorporated - Arcadia,11,137.83,False
2020-06-09,South LA,Unincorporated - Athens-Westmont,282,664.44,False
2020-06-09,South LA,Unincorporated - Athens Village,42,857.67,False
2020-06-09,San Gabriel Valley,Unincorporated - Avocado Heights,40,590.41,False
2020-06-09,San Gabriel Valley,Unincorporated - Azusa,84,527.54,False
2020-06-09,San Gabriel Valley,Unincorporated - Bassett,132,890.87,False
2020-06-09,Northwest County,Unincorporated - Bouquet Canyon,1,93.2,False
2020-06-09,San Gabriel Valley,Unincorporated - Bradbury,0,0.0,False
2020-06-09,Northwest County,Unincorporated - Canyon Country,36,465.84,False
2020-06-09,Northwest County,Unincorporated - Castaic,1305,4799.38,True
2020-06-09,Southeast,Unincorporated - Cerritos,0,0.0,False
2020-06-09,San Gabriel Valley,Unincorporated - Charter Oak,0,0.0,False
2020-06-09,Pomona Valley,Unincorporated - Claremont,0,0.0,False
2020-06-09,San Gabriel Valley,Unincorporated - Covina,64,380.52,False
2020-06-09,South Bay,Unincorporated - Del Aire,16,364.22,False
2020-06-09,Westside,Unincorporated - Del Rey,1,314.47,False
2020-06-09,Antelope Valley,Unincorporated - Del Sur,2,82.82,False
2020-06-09,Antelope Valley,Unincorporated - Desert View Highlands,6,240.67,False
2020-06-09,San Gabriel Valley,Unincorporated - Duarte,18,406.5,False
2020-06-09,San Gabriel Valley,Unincorporated - East Covina,0,0.0,False
2020-06-09,Southeast,Unincorporated - East La Mirada,22,415.72,False
2020-06-09,Antelope Valley,Unincorporated - East Lancaster,0,0.0,False
2020-06-09,Eastside,Unincorporated - East Los Angeles,1368,1092.05,False
2020-06-09,San Gabriel Valley,Unincorporated - East Pasadena,4,62.47,False
2020-06-09,Southeast,Unincorporated - East Rancho Dominguez,87,568.33,False
2020-06-09,Southeast,Unincorporated - East Whittier,15,282.7,False
2020-06-09,South Bay,Unincorporated - El Camino Village,56,637.02,False
2020-06-09,San Gabriel Valley,Unincorporated - El Monte,0,0.0,False
2020-06-09,Antelope Valley,Unincorporated - Elizabeth Lake,3,180.61,False
2020-06-09,South LA,Unincorporated - Florence-Firestone,766,1183.83,False
2020-06-09,Central LA,Unincorporated - Franklin Canyon,0,0.0,False
2020-06-09,San Gabriel Valley,Unincorporated - Glendora,3,454.55,False
2020-06-09,San Gabriel Valley,Unincorporated - Hacienda Heights,186,332.58,False
2020-06-09,Harbor,Unincorporated - Harbor Gateway,0,0.0,False
2020-06-09,South Bay,Unincorporated - Hawthorne,8,318.22,False
2020-06-09,Antelope Valley,Unincorporated - Hi Vista,1,91.07,False
2020-06-09,Angeles Forest,Unincorporated - Kagel/Lopez Canyons,8,566.57,False
2020-06-09,Verdugos,Unincorporated - La Crescenta-Montrose,34,171.71,False
2020-06-09,San Gabriel Valley,Unincorporated - La Habra Heights,0,0.0,False
2020-06-09,Harbor,Unincorporated - La Rambla,30,1445.78,False
2020-06-09,Pomona Valley,Unincorporated - La Verne,5,245.1,False
2020-06-09,Westside,Unincorporated - Ladera Heights,20,282.85,False
2020-06-09,Northwest County,Unincorporated - Lake Hughes,1,149.7,False
2020-06-09,Antelope Valley,Unincorporated - Lake Los Angeles,32,246.27,False
2020-06-09,San Fernando Valley,Unincorporated - Lake Manor,4,243.46,False
2020-06-09,Harbor,Unincorporated - Lakewood,0,0.0,False
2020-06-09,South Bay,Unincorporated - Lennox,132,585.57,False
2020-06-09,Antelope Valley,Unincorporated - Leona Valley,3,171.33,False
2020-06-09,Antelope Valley,Unincorporated - Littlerock,16,397.91,False
2020-06-09,Antelope Valley,Unincorporated - Littlerock/Juniper Hills,2,154.2,False
2020-06-09,Antelope Valley,Unincorporated - Littlerock/Pearblossom,22,616.42,False
2020-06-09,Antelope Valley,Unincorporated - Llano,1,114.03,False
2020-06-09,Westside,Unincorporated - Marina del Rey,16,170.01,False
2020-06-09,Central LA,Unincorporated - Miracle Mile,0,0.0,False
2020-06-09,San Gabriel Valley,Unincorporated - Monrovia,22,566.86,False
2020-06-09,Northwest County,Unincorporated - Newhall,1,454.55,False
2020-06-09,Antelope Valley,Unincorporated - North Lancaster,6,500.83,False
2020-06-09,San Gabriel Valley,Unincorporated - North Whittier,18,215.31,False
2020-06-09,San Gabriel Valley,Unincorporated - Northeast San Gabriel,64,266.27,False
2020-06-09,Antelope Valley,Unincorporated - Palmdale,5,593.82,False
2020-06-09,South Bay,Unincorporated - Palos Verdes Peninsula,0,0.0,False
2020-06-09,Antelope Valley,Unincorporated - Pearblossom/Llano,3,153.37,False
2020-06-09,San Gabriel Valley,Unincorporated - Pellissier Village,1,161.55,False
2020-06-09,Angeles Forest,Unincorporated - Placerita Canyon,0,0.0,False
2020-06-09,San Gabriel Valley,Unincorporated - Pomona,4,206.4,False
2020-06-09,Antelope Valley,Unincorporated - Quartz Hill,47,364.17,False
2020-06-09,Harbor,Unincorporated - Rancho Dominguez,20,751.6,False
2020-06-09,Antelope Valley,Unincorporated - Roosevelt,1,107.41,False
2020-06-09,Southeast,Unincorporated - Rosewood,8,622.08,False
2020-06-09,Southeast,Unincorporated - Rosewood/East Gardena,0,0.0,False
2020-06-09,Southeast,Unincorporated - Rosewood/West Rancho Dominguez,27,803.33,False
2020-06-09,San Gabriel Valley,Unincorporated - Rowland Heights,173,339.07,False
2020-06-09,Harbor,Unincorporated - San Clemente Island,0,0.0,False
2020-06-09,Northwest County,Unincorporated - San Francisquito Canyon/Bouquet Canyon,0,0.0,False
2020-06-09,San Gabriel Valley,Unincorporated - San Jose Hills,95,469.81,False
2020-06-09,San Gabriel Valley,Unincorporated - San Pasqual,1,49.14,False
2020-06-09,Angeles Forest,Unincorporated - Sand Canyon,0,0.0,False
2020-06-09,Harbor,Unincorporated - Santa Catalina Island,2,749.06,False
2020-06-09,Santa Monica Mountains,Unincorporated - Santa Monica Mountains,26,139.63,False
2020-06-09,Northwest County,Unincorporated - Saugus,4,2580.65,False
2020-06-09,Northwest County,Unincorporated - Saugus/Canyon Country,0,0.0,False
2020-06-09,Antelope Valley,Unincorporated - South Antelope Valley,1,219.78,False
2020-06-09,San Gabriel Valley,Unincorporated - South El Monte,9,501.39,False
2020-06-09,San Gabriel Valley,Unincorporated - South San Gabriel,50,565.1,False
2020-06-09,Southeast,Unincorporated - South Whittier,210,354.6,False
2020-06-09,Antelope Valley,Unincorporated - Southeast Antelope Valley,0,0.0,False
2020-06-09,Northwest County,Unincorporated - Stevenson Ranch,37,176.48,False
2020-06-09,Antelope Valley,Unincorporated - Sun Village,23,381.05,False
2020-06-09,San Gabriel Valley,Unincorporated - Sunrise Village,6,462.96,False
2020-06-09,Northwest County,Unincorporated - Twin Lakes/Oat Mountain,6,361.88,False
2020-06-09,Northwest County,Unincorporated - Val Verde,84,2538.53,False
2020-06-09,Northwest County,Unincorporated - Valencia,11,358.07,False
2020-06-09,San Gabriel Valley,Unincorporated - Valinda,122,522.01,False
2020-06-09,South LA,Unincorporated - View Park/Windsor Hills,39,335.2,False
2020-06-09,Southeast,Unincorporated - Walnut Park,162,1003.53,False
2020-06-09,Antelope Valley,Unincorporated - West Antelope Valley,2,132.36,False
2020-06-09,Harbor,Unincorporated - West Carson,119,538.8,False
2020-06-09,San Fernando Valley,Unincorporated - West Chatsworth,0,0.0,False
2020-06-09,San Gabriel Valley,Unincorporated - West Puente Valley,53,538.89,False
2020-06-09,Harbor,Unincorporated - West Rancho Dominguez,10,735.84,False
2020-06-09,Southeast,Unincorporated - West Whittier/Los Nietos,211,783.66,False
2020-06-09,South Bay,Unincorporated - Westfield/Academy Hills,0,0.0,False
2020-06-09,San Fernando Valley,Unincorporated - Westhills,0,0.0,False
2020-06-09,Antelope Valley,Unincorporated - White Fence Farms,7,190.06,False
2020-06-09,San Gabriel Valley,Unincorporated - Whittier,15,396.41,False
2020-06-09,San Gabriel Valley,Unincorporated - Whittier Narrows,0,0.0,False
2020-06-09,South LA,Unincorporated - Willowbrook,316,905.11,False
2020-06-09,South Bay,Unincorporated - Wiseburn,21,348.43,False
2020-06-09,Harbor,City of Long Beach,2273,484.77,False
2020-06-09,Verdugos,City of Pasadena,996,705.15,False
2020-06-10,Santa Monica Mountains,City of Agoura Hills,36,172.39,False
2020-06-10,San Gabriel Valley,City of Alhambra,256,295.19,False
2020-06-10,San Gabriel Valley,City of Arcadia,102,176.61,False
2020-06-10,Southeast,City of Artesia,49,291.75,False
2020-06-10,Harbor,City of Avalon,0,0.0,False
2020-06-10,San Gabriel Valley,City of Azusa,233,465.63,False
2020-06-10,San Gabriel Valley,City of Baldwin Park,427,556.21,False
2020-06-10,Southeast,City of Bell,437,1202.8,False
2020-06-10,Southeast,City of Bell Gardens,398,924.06,False
2020-06-10,Southeast,City of Bellflower,503,647.07,False
2020-06-10,Westside,City of Beverly Hills,152,440.32,False
2020-06-10,San Gabriel Valley,City of Bradbury,4,374.18,False
2020-06-10,San Fernando Valley,City of Burbank,426,397.46,False
2020-06-10,Santa Monica Mountains,City of Calabasas,95,390.58,False
2020-06-10,Harbor,City of Carson,500,532.79,False
2020-06-10,Southeast,City of Cerritos,144,287.61,False
2020-06-10,Pomona Valley,City of Claremont,66,180.9,False
2020-06-10,Southeast,City of Commerce,99,757.52,True
2020-06-10,Southeast,City of Compton,838,838.81,False
2020-06-10,San Gabriel Valley,City of Covina,224,456.84,False
2020-06-10,Southeast,City of Cudahy,311,1277.36,False
2020-06-10,Westside,City of Culver City,164,411.39,False
2020-06-10,San Gabriel Valley,City of Diamond Bar,83,144.31,False
2020-06-10,Southeast,City of Downey,923,807.79,False
2020-06-10,San Gabriel Valley,City of Duarte,139,631.36,False
2020-06-10,San Gabriel Valley,City of El Monte,776,661.73,False
2020-06-10,South Bay,City of El Segundo,37,220.42,False
2020-06-10,South Bay,City of Gardena,330,538.25,False
2020-06-10,Verdugos,City of Glendale,1076,521.08,False
2020-06-10,San Gabriel Valley,City of Glendora,176,333.56,False
2020-06-10,Harbor,City of Hawaiian Gardens,100,681.38,False
2020-06-10,South Bay,City of Hawthorne,476,536.11,False
2020-06-10,South Bay,City of Hermosa Beach,36,183.02,False
2020-06-10,Santa Monica Mountains,City of Hidden Hills,3,158.73,False
2020-06-10,Southeast,City of Huntington Park,674,1133.08,False
2020-06-10,San Gabriel Valley,City of Industry,11,2517.16,False
2020-06-10,South Bay,City of Inglewood,721,634.78,False
2020-06-10,San Gabriel Valley,City of Irwindale,5,342.7,False
2020-06-10,Verdugos,City of La Canada Flintridge,55,265.79,False
2020-06-10,San Gabriel Valley,City of La Habra Heights,11,201.65,False
2020-06-10,Southeast,City of La Mirada,218,439.52,False
2020-06-10,San Gabriel Valley,City of La Puente,180,442.29,False
2020-06-10,Pomona Valley,City of La Verne,37,111.17,False
2020-06-10,Harbor,City of Lakewood,249,309.85,False
2020-06-10,Antelope Valley,City of Lancaster,703,435.11,True
2020-06-10,South Bay,City of Lawndale,148,440.29,False
2020-06-10,South Bay,City of Lomita,53,255.68,False
2020-06-10,Southeast,City of Lynwood,828,1149.25,True
2020-06-10,Santa Monica Mountains,City of Malibu,39,300.9,False
2020-06-10,South Bay,City of Manhattan Beach,83,230.56,False
2020-06-10,Southeast,City of Maywood,378,1347.64,False
2020-06-10,San Gabriel Valley,City of Monrovia,179,461.34,False
2020-06-10,Southeast,City of Montebello,507,787.57,False
2020-06-10,San Gabriel Valley,City of Monterey Park,202,324.44,False
2020-06-10,Southeast,City of Norwalk,652,605.82,False
2020-06-10,Antelope Valley,City of Palmdale,848,533.44,False
2020-06-10,South Bay,City of Palos Verdes Estates,43,318.0,False
2020-06-10,Southeast,City of Paramount,468,835.37,False
2020-06-10,Southeast,City of Pico Rivera,655,1018.92,False
2020-06-10,Pomona Valley,City of Pomona,733,470.08,False
2020-06-10,South Bay,City of Rancho Palos Verdes,100,233.93,False
2020-06-10,South Bay,City of Redondo Beach,151,219.81,False
2020-06-10,South Bay,City of Rolling Hills,2,103.09,False
2020-06-10,South Bay,City of Rolling Hills Estates,14,172.56,False
2020-06-10,San Gabriel Valley,City of Rosemead,148,267.39,False
2020-06-10,San Gabriel Valley,City of San Dimas,79,228.88,False
2020-06-10,San Fernando Valley,City of San Fernando,231,938.57,False
2020-06-10,San Gabriel Valley,City of San Gabriel,170,415.1,False
2020-06-10,San Gabriel Valley,City of San Marino,24,180.76,False
