"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","persons_tested_final","testing_rate_final","adj_testing_rate_final","population"
"288","Unincorporated - San Jose Hills",124,613,610,3,15,14,955,4723,4629,20221
"289","Unincorporated - San Pasqual",2,98,67,0,0,0,46,2260,2394,2035
"290","Unincorporated - Santa Catalina Island",3,1124,3081,0,0,0,77,28839,32830,267
"291","Unincorporated - Santa Monica Mountains",28,150,155,1,5,2,1396,7497,7863,18621
"292","Unincorporated - Saugus",5,3226,3201,0,0,0,125,80645,89642,155
"293","Unincorporated - South Antelope Valley",1,220,256,0,0,0,13,2857,2035,455
"294","Unincorporated - South El Monte",10,557,523,0,0,0,110,6128,5873,1795
"295","Unincorporated - South San Gabriel",54,610,546,4,45,29,669,7561,6515,8848
"296","Unincorporated - South Whittier",246,415,404,7,12,11,2530,4272,4191,59222
"297","Unincorporated - Stevenson Ranch",39,186,192,0,0,0,1180,5628,5524,20966
"298","Unincorporated - Sun Village",26,431,430,0,0,0,237,3926,3897,6036
"299","Unincorporated - Sunrise Village",8,617,763,0,0,0,61,4707,4819,1296
"300","Unincorporated - Twin Lakes/Oat Mountain",7,422,417,1,60,78,145,8745,8038,1658
"301","Unincorporated - Val Verde",23,695,615,0,0,0,999,30190,29347,3309
"302","Unincorporated - Valencia",12,391,957,1,33,258,151,4915,6055,3072
"303","Unincorporated - Valinda",152,650,634,1,4,5,1215,5199,5106,23371
"304","Unincorporated - View Park/Windsor Hills",45,387,362,2,17,7,1300,11173,10488,11635
"305","Unincorporated - Walnut Park",186,1152,1151,4,25,27,898,5563,5470,16143
"306","Unincorporated - West Antelope Valley",2,132,211,0,0,0,32,2118,1815,1511
"307","Unincorporated - West Carson",127,575,481,10,45,27,1817,8227,7367,22086
"308","Unincorporated - West LA",24,2521,1895,2,210,67,407,42752,32982,952
"309","Unincorporated - West Puente Valley",61,620,604,0,0,0,537,5460,5276,9835
"310","Unincorporated - West Rancho Dominguez",10,736,743,1,74,63,92,6770,6328,1359
"311","Unincorporated - West Whittier/Los Nietos",242,899,894,5,19,19,1513,5619,5579,26925
"312","Unincorporated - White Fence Farms",15,407,453,0,0,0,168,4562,4907,3683
"313","Unincorporated - Whittier",15,396,390,0,0,0,172,4545,4284,3784
