Date,Region,Cases,New cases,"New cases, 14-day avg",Cases per 100k,"New cases, 14-day avg per 100k"
2020-05-01,South Bay,3568,224,127.9,227.3,8.15
2020-05-02,Antelope Valley,842,11,39.5,211.9,9.94
2020-05-02,San Fernando,6601,174,248.9,293.6,11.07
2020-05-02,San Gabriel,2478,66,96.1,136.6,5.29
2020-05-02,Metro,3286,95,120.3,275.7,10.09
2020-05-02,West,1343,37,32.2,201.3,4.83
2020-05-02,South,2369,68,101.4,225.5,9.65
2020-05-02,East,2798,86,108.2,211.8,8.19
2020-05-02,South Bay,3700,132,131.0,235.7,8.35
2020-05-03,Antelope Valley,875,33,41.3,220.3,10.39
2020-05-03,San Fernando,6814,213,260.3,303.1,11.58
2020-05-03,San Gabriel,2555,77,99.5,140.8,5.48
2020-05-03,Metro,3393,107,124.6,284.7,10.46
2020-05-03,West,1368,25,32.8,205.0,4.91
2020-05-03,South,2442,73,104.9,232.4,9.98
2020-05-03,East,2847,49,108.8,215.5,8.24
2020-05-03,South Bay,3805,105,134.3,242.4,8.56
2020-05-04,Antelope Valley,886,11,37.9,223.0,9.53
2020-05-04,San Fernando,6958,144,247.0,309.5,10.99
2020-05-04,San Gabriel,2618,63,98.1,144.3,5.41
2020-05-04,Metro,3458,65,115.2,290.2,9.67
2020-05-04,West,1388,20,29.1,208.0,4.36
2020-05-04,South,2481,39,96.7,236.1,9.2
2020-05-04,East,2896,49,99.1,219.2,7.51
2020-05-04,South Bay,3862,57,128.1,246.1,8.16
2020-05-05,Antelope Valley,930,44,32.9,234.1,8.29
2020-05-05,San Fernando,7518,560,257.0,334.4,11.43
2020-05-05,San Gabriel,2763,145,96.2,152.3,5.3
2020-05-05,Metro,3686,228,116.2,309.3,9.75
2020-05-05,West,1431,43,27.4,214.5,4.11
2020-05-05,South,2702,221,101.3,257.2,9.64
2020-05-05,East,3076,180,98.6,232.9,7.47
2020-05-05,South Bay,4019,157,125.8,256.1,8.01
2020-05-06,Antelope Valley,961,31,30.4,241.9,7.64
2020-05-06,San Fernando,7712,194,242.8,343.0,10.8
2020-05-06,San Gabriel,2887,124,93.0,159.1,5.13
2020-05-06,Metro,3821,135,114.1,320.6,9.57
2020-05-06,West,1460,29,27.3,218.8,4.09
2020-05-06,South,2818,116,98.6,268.2,9.39
2020-05-06,East,3188,112,96.4,241.3,7.3
2020-05-06,South Bay,4147,128,127.5,264.2,8.12
2020-05-07,Antelope Valley,985,24,28.5,247.9,7.17
2020-05-07,San Fernando,7920,208,238.4,352.3,10.6
2020-05-07,San Gabriel,3017,130,94.2,166.3,5.19
2020-05-07,Metro,3933,112,114.4,330.0,9.6
2020-05-07,West,1489,29,27.1,223.2,4.06
2020-05-07,South,2908,90,95.1,276.8,9.05
2020-05-07,East,3284,96,93.2,248.6,7.06
2020-05-07,South Bay,4211,64,124.1,268.3,7.91
2020-05-08,Antelope Valley,998,13,26.9,251.2,6.78
2020-05-08,San Fernando,8205,285,239.6,364.9,10.66
2020-05-08,San Gabriel,3106,89,92.6,171.2,5.1
2020-05-08,Metro,4062,129,115.3,340.8,9.67
2020-05-08,West,1511,22,27.0,226.5,4.05
2020-05-08,South,2964,56,90.1,282.1,8.58
2020-05-08,East,3412,128,94.7,258.3,7.17
2020-05-08,South Bay,4326,115,125.4,275.6,7.99
2020-05-09,Antelope Valley,1020,22,24.9,256.8,6.26
2020-05-09,San Fernando,8461,256,247.9,376.3,11.03
2020-05-09,San Gabriel,3250,144,96.9,179.1,5.34
2020-05-09,Metro,4173,111,118.3,350.2,9.93
2020-05-09,West,1538,27,27.5,230.5,4.12
2020-05-09,South,3063,99,92.7,291.5,8.82
2020-05-09,East,3515,103,97.1,266.1,7.35
2020-05-09,South Bay,4449,123,127.3,283.5,8.11
2020-05-10,Antelope Valley,1026,6,24.2,258.3,6.1
2020-05-10,San Fernando,8539,78,245.8,379.8,10.93
2020-05-10,San Gabriel,3318,68,99.6,182.9,5.49
2020-05-10,Metro,4245,72,118.9,356.2,9.97
2020-05-10,West,1566,28,28.5,234.7,4.27
2020-05-10,South,3117,54,93.8,296.7,8.93
2020-05-10,East,3557,42,96.6,269.3,7.31
2020-05-10,South Bay,4534,85,129.4,288.9,8.25
2020-05-11,Antelope Valley,1042,16,22.1,262.3,5.56
2020-05-11,San Fernando,8732,193,239.1,388.4,10.63
2020-05-11,San Gabriel,3411,93,98.4,188.0,5.42
2020-05-11,Metro,4323,78,116.9,362.7,9.81
2020-05-11,West,1582,16,28.2,237.1,4.23
2020-05-11,South,3184,67,90.9,303.0,8.65
2020-05-11,East,3605,48,94.4,272.9,7.14
2020-05-11,South Bay,4610,76,127.9,293.7,8.15
2020-05-12,Antelope Valley,1052,10,22.1,264.8,5.57
2020-05-12,San Fernando,9031,299,249.7,401.7,11.11
2020-05-12,San Gabriel,3538,127,100.2,195.0,5.52
2020-05-12,Metro,4493,170,123.6,377.0,10.37
2020-05-12,West,1598,16,27.9,239.5,4.19
2020-05-12,South,3302,118,94.1,314.3,8.96
2020-05-12,East,3763,158,99.9,284.9,7.56
2020-05-12,South Bay,4704,94,129.8,299.7,8.27
2020-05-13,Antelope Valley,1094,42,22.6,275.4,5.7
2020-05-13,San Fernando,9331,300,244.5,415.0,10.87
2020-05-13,San Gabriel,3742,204,105.4,206.2,5.81
2020-05-13,Metro,4661,168,125.1,391.1,10.5
2020-05-13,West,1633,35,28.2,244.7,4.23
2020-05-13,South,3457,155,96.2,329.0,9.16
2020-05-13,East,3998,235,109.0,302.7,8.25
2020-05-13,South Bay,4831,127,123.1,307.8,7.85
2020-05-14,Antelope Valley,1115,21,22.7,280.7,5.72
2020-05-14,San Fernando,9617,286,251.9,427.7,11.2
2020-05-14,San Gabriel,3842,100,108.1,211.7,5.96
2020-05-14,Metro,4778,117,125.8,400.9,10.55
2020-05-14,West,1654,21,28.4,247.9,4.26
2020-05-14,South,3548,91,97.6,337.7,9.29
2020-05-14,East,4102,104,108.6,310.5,8.22
2020-05-14,South Bay,5013,182,119.2,319.4,7.6
2020-05-15,Antelope Valley,1130,15,21.4,284.4,5.38
2020-05-15,San Fernando,9847,230,244.3,438.0,10.87
2020-05-15,San Gabriel,3969,127,111.2,218.7,6.13
2020-05-15,Metro,4880,102,120.6,409.5,10.12
2020-05-15,West,1686,32,27.1,252.7,4.07
2020-05-15,South,3658,110,96.9,348.1,9.23
2020-05-15,East,4233,131,108.6,320.5,8.22
2020-05-15,South Bay,5144,131,112.6,327.7,7.17
2020-05-16,Antelope Valley,1158,28,22.6,291.5,5.68
2020-05-16,San Fernando,10102,255,250.1,449.3,11.12
2020-05-16,San Gabriel,4086,117,114.9,225.2,6.33
2020-05-16,Metro,5063,183,126.9,424.8,10.65
2020-05-16,West,1708,22,26.1,256.0,3.91
2020-05-16,South,3812,154,103.1,362.8,9.81
2020-05-16,East,4397,164,114.2,332.9,8.65
2020-05-16,South Bay,5273,129,112.4,336.0,7.16
2020-05-17,Antelope Valley,1177,19,21.6,296.3,5.43
2020-05-17,San Fernando,10272,170,247.0,456.9,10.99
2020-05-17,San Gabriel,4151,65,114.0,228.8,6.28
2020-05-17,Metro,5133,70,124.3,430.7,10.43
