Date,Area,Region,Cases,Case Rate,CF Outbreak
2020-06-20,City of Avalon,Harbor,0,0.0,False
2020-06-20,City of Azusa,San Gabriel Valley,313,625.0,False
2020-06-20,City of Baldwin Park,San Gabriel Valley,594,774.0,False
2020-06-20,City of Bell,Southeast,539,1484.0,False
2020-06-20,City of Bell Gardens,Southeast,532,1235.0,False
2020-06-20,City of Bellflower,Southeast,633,814.0,False
2020-06-20,City of Beverly Hills,Westside,197,571.0,False
2020-06-20,City of Bradbury,San Gabriel Valley,5,468.0,False
2020-06-20,City of Burbank,San Fernando Valley,480,448.0,False
2020-06-20,City of Calabasas,Santa Monica Mountains,102,419.0,False
2020-06-20,City of Carson,Harbor,571,608.0,False
2020-06-20,City of Cerritos,Southeast,170,340.0,False
2020-06-20,City of Claremont,Pomona Valley,81,222.0,False
2020-06-20,City of Commerce,Southeast,146,1117.0,True
2020-06-20,City of Compton,Southeast,1086,1087.0,False
2020-06-20,City of Covina,San Gabriel Valley,289,589.0,False
2020-06-20,City of Cudahy,Southeast,379,1557.0,False
2020-06-20,City of Culver City,Westside,187,469.0,False
2020-06-20,City of Diamond Bar,San Gabriel Valley,102,177.0,False
2020-06-20,City of Downey,Southeast,1182,1034.0,False
2020-06-20,City of Duarte,San Gabriel Valley,156,709.0,False
2020-06-20,City of El Monte,San Gabriel Valley,1092,931.0,False
2020-06-20,City of El Segundo,South Bay,42,250.0,False
2020-06-20,City of Gardena,South Bay,399,651.0,False
2020-06-20,City of Glendale,Verdugos,1232,597.0,False
2020-06-20,City of Glendora,San Gabriel Valley,232,440.0,False
2020-06-20,City of Hawaiian Gardens,Harbor,131,893.0,False
2020-06-20,City of Hawthorne,South Bay,596,671.0,False
2020-06-20,City of Hermosa Beach,South Bay,53,269.0,False
2020-06-20,City of Hidden Hills,Santa Monica Mountains,4,212.0,False
2020-06-20,City of Huntington Park,Southeast,892,1500.0,False
2020-06-20,City of Industry,San Gabriel Valley,13,2975.0,False
2020-06-20,City of Inglewood,South Bay,820,722.0,False
2020-06-20,City of Irwindale,San Gabriel Valley,6,411.0,False
2020-06-20,City of La Canada Flintridge,Verdugos,69,333.0,False
2020-06-20,City of La Habra Heights,San Gabriel Valley,13,238.0,False
2020-06-20,City of La Mirada,Southeast,260,524.0,False
2020-06-20,City of La Puente,San Gabriel Valley,285,700.0,False
2020-06-20,City of La Verne,Pomona Valley,65,195.0,False
2020-06-20,City of Lakewood,Harbor,311,387.0,False
2020-06-20,City of Lancaster,Antelope Valley,852,527.0,True
2020-06-20,City of Lawndale,South Bay,172,512.0,False
2020-06-20,City of Lomita,South Bay,63,304.0,False
2020-06-20,City of Lynwood,Southeast,1051,1459.0,True
2020-06-20,City of Malibu,Santa Monica Mountains,46,355.0,False
2020-06-20,City of Manhattan Beach,South Bay,95,264.0,False
2020-06-20,City of Maywood,Southeast,504,1797.0,False
2020-06-20,City of Monrovia,San Gabriel Valley,212,546.0,False
2020-06-20,City of Montebello,Southeast,682,1059.0,False
2020-06-20,City of Monterey Park,San Gabriel Valley,249,400.0,False
2020-06-20,City of Norwalk,Southeast,819,761.0,False
2020-06-20,City of Palmdale,Antelope Valley,1017,640.0,False
2020-06-20,City of Palos Verdes Estates,South Bay,48,355.0,False
2020-06-20,City of Paramount,Southeast,625,1116.0,False
2020-06-20,City of Pico Rivera,Southeast,764,1188.0,False
2020-06-20,City of Pomona,Pomona Valley,1006,645.0,False
2020-06-20,City of Rancho Palos Verdes,South Bay,120,281.0,False
2020-06-20,City of Redondo Beach,South Bay,169,246.0,False
2020-06-20,City of Rolling Hills,South Bay,2,103.0,False
2020-06-20,City of Rolling Hills Estates,South Bay,18,222.0,False
2020-06-20,City of Rosemead,San Gabriel Valley,181,327.0,False
2020-06-20,City of San Dimas,San Gabriel Valley,106,307.0,False
2020-06-20,City of San Fernando,San Fernando Valley,258,1048.0,False
2020-06-20,City of San Gabriel,San Gabriel Valley,193,471.0,False
2020-06-20,City of San Marino,San Gabriel Valley,25,188.0,False
2020-06-20,City of Santa Clarita,Northwest County,950,431.0,False
2020-06-20,City of Santa Fe Springs,Southeast,110,599.0,False
2020-06-20,City of Santa Monica,Westside,353,382.0,False
2020-06-20,City of Sierra Madre,San Gabriel Valley,24,218.0,False
2020-06-20,City of Signal Hill,Harbor,59,500.0,False
2020-06-20,City of South El Monte,San Gabriel Valley,205,982.0,False
2020-06-20,City of South Gate,Southeast,1264,1288.0,False
2020-06-20,City of South Pasadena,San Gabriel Valley,142,545.0,False
2020-06-20,City of Temple City,San Gabriel Valley,200,549.0,False
2020-06-20,City of Torrance,South Bay,487,326.0,False
2020-06-20,City of Vernon,Southeast,5,2392.0,False
2020-06-20,City of Walnut,San Gabriel Valley,71,233.0,False
2020-06-20,City of West Covina,San Gabriel Valley,636,588.0,False
2020-06-20,City of West Hollywood,Central LA,216,585.0,False
2020-06-20,City of Westlake Village,Santa Monica Mountains,7,84.0,False
2020-06-20,City of Whittier,San Gabriel Valley,507,580.0,False
2020-06-20,Los Angeles,,36919,913.0,False
2020-06-20,Los Angeles - Adams-Normandie,South LA,82,1000.0,False
2020-06-20,Los Angeles - Alsace,South LA,114,916.0,False
2020-06-20,Los Angeles - Angeles National Forest,Angeles Forest,2,5000.0,False
2020-06-20,Los Angeles - Angelino Heights,Central LA,22,879.0,False
2020-06-20,Los Angeles - Arleta,San Fernando Valley,377,1097.0,False
2020-06-20,Los Angeles - Atwater Village,Northeast LA,59,402.0,False
2020-06-20,Los Angeles - Baldwin Hills,South LA,231,742.0,False
2020-06-20,Los Angeles - Bel Air,Westside,41,486.0,False
2020-06-20,Los Angeles - Beverly Crest,Westside,48,383.0,False
2020-06-20,Los Angeles - Beverlywood,Westside,51,387.0,False
2020-06-20,Los Angeles - Boyle Heights,Eastside,1336,1538.0,True
2020-06-20,Los Angeles - Brentwood,Westside,96,310.0,False
2020-06-20,Los Angeles - Brookside,Central LA,1,172.0,False
2020-06-20,Los Angeles - Cadillac-Corning,Central LA,38,534.0,False
2020-06-20,Los Angeles - Canoga Park,San Fernando Valley,685,1049.0,False
2020-06-20,Los Angeles - Carthay,Central LA,96,668.0,False
2020-06-20,Los Angeles - Central,South LA,777,1993.0,False
2020-06-20,Los Angeles - Century City,Westside,46,360.0,False
2020-06-20,Los Angeles - Century Palms/Cove,South LA,468,1386.0,False
2020-06-20,Los Angeles - Chatsworth,San Fernando Valley,252,680.0,False
2020-06-20,Los Angeles - Cheviot Hills,Westside,29,316.0,False
2020-06-20,Los Angeles - Chinatown,Central LA,30,374.0,False
2020-06-20,Los Angeles - Cloverdale/Cochran,Central LA,108,742.0,False
2020-06-20,Los Angeles - Country Club Park,Central LA,133,878.0,False
2020-06-20,Los Angeles - Crenshaw District,South LA,103,745.0,False
2020-06-20,Los Angeles - Crestview,Central LA,101,888.0,False
2020-06-20,Los Angeles - Del Rey,Westside,102,341.0,False
2020-06-20,Los Angeles - Downtown,Central LA,221,803.0,True
2020-06-20,Los Angeles - Eagle Rock,Northeast LA,252,637.0,False
2020-06-20,Los Angeles - East Hollywood,Central LA,272,929.0,False
2020-06-20,Los Angeles - Echo Park,Central LA,68,477.0,False
2020-06-20,Los Angeles - El Sereno,Eastside,324,775.0,False
2020-06-20,Los Angeles - Elysian Park,Central LA,20,350.0,False
2020-06-20,Los Angeles - Elysian Valley,Northeast LA,86,846.0,False
2020-06-20,Los Angeles - Encino,San Fernando Valley,167,370.0,False
2020-06-20,Los Angeles - Exposition,South LA,18,541.0,False
2020-06-20,Los Angeles - Exposition Park,South LA,387,862.0,False
2020-06-20,Los Angeles - Faircrest Heights,Central LA,10,278.0,False
2020-06-20,Los Angeles - Figueroa Park Square,South LA,82,940.0,False
2020-06-20,Los Angeles - Florence-Firestone,South LA,720,1518.0,False
2020-06-20,Los Angeles - Glassell Park,Northeast LA,255,807.0,False
2020-06-20,Los Angeles - Gramercy Place,South LA,98,910.0,False
2020-06-20,Los Angeles - Granada Hills,San Fernando Valley,472,811.0,False
2020-06-20,Los Angeles - Green Meadows,South LA,279,1297.0,False
2020-06-20,Los Angeles - Hancock Park,Central LA,103,604.0,False
2020-06-20,Los Angeles - Harbor City,Harbor,159,547.0,False
2020-06-20,Los Angeles - Harbor Gateway,Harbor,229,525.0,False
2020-06-20,Los Angeles - Harbor Pines,Harbor,9,374.0,False
2020-06-20,Los Angeles - Harvard Heights,Central LA,189,1048.0,False
2020-06-20,Los Angeles - Harvard Park,South LA,498,1313.0,False
2020-06-20,Los Angeles - Highland Park,Northeast LA,372,769.0,False
2020-06-20,Los Angeles - Historic Filipinotown,Central LA,192,1384.0,False
2020-06-20,Los Angeles - Hollywood,Central LA,374,548.0,False
2020-06-20,Los Angeles - Hollywood Hills,Central LA,100,340.0,False
2020-06-20,Los Angeles - Hyde Park,South LA,215,753.0,False
2020-06-20,Los Angeles - Jefferson Park,South LA,74,917.0,False
2020-06-20,Los Angeles - Koreatown,Central LA,402,778.0,False
2020-06-20,Los Angeles - Lafayette Square,Central LA,27,592.0,False
2020-06-20,Los Angeles - Lake Balboa,San Fernando Valley,276,654.0,False
2020-06-20,Los Angeles - Lakeview Terrace,San Fernando Valley,181,1378.0,False
2020-06-20,Los Angeles - Leimert Park,South LA,82,538.0,False
2020-06-20,Los Angeles - Lincoln Heights,Eastside,408,1252.0,False
2020-06-20,Los Angeles - Little Armenia,Central LA,234,2916.0,False
2020-06-20,Los Angeles - Little Bangladesh,Central LA,204,720.0,False
2020-06-20,Los Angeles - Little Tokyo,Central LA,34,1085.0,False
2020-06-20,Los Angeles - Longwood,Central LA,33,767.0,False
2020-06-20,Los Angeles - Los Feliz,Central LA,67,310.0,False
2020-06-20,Los Angeles - Manchester Square,South LA,40,469.0,False
2020-06-20,Los Angeles - Mandeville Canyon,Westside,3,96.0,False
2020-06-20,Los Angeles - Mar Vista,Westside,103,243.0,False
2020-06-20,Los Angeles - Marina Peninsula,Westside,18,413.0,False
2020-06-20,Los Angeles - Melrose,Central LA,734,945.0,False
2020-06-20,Los Angeles - Mid-city,Central LA,146,971.0,False
2020-06-20,Los Angeles - Miracle Mile,Central LA,52,289.0,False
2020-06-20,Los Angeles - Mission Hills,San Fernando Valley,221,916.0,False
2020-06-20,Los Angeles - Mt. Washington,Northeast LA,140,580.0,False
2020-06-20,Los Angeles - North Hills,San Fernando Valley,661,1073.0,False
2020-06-20,Los Angeles - North Hollywood,San Fernando Valley,1000,660.0,False
2020-06-20,Los Angeles - Northridge,San Fernando Valley,484,693.0,False
2020-06-20,Los Angeles - Pacific Palisades,Westside,63,296.0,False
2020-06-20,Los Angeles - Pacoima,San Fernando Valley,1105,1435.0,False
2020-06-20,Los Angeles - Palisades Highlands,Westside,8,208.0,False
2020-06-20,Los Angeles - Palms,Westside,243,554.0,False
2020-06-20,Los Angeles - Panorama City,San Fernando Valley,1111,1476.0,False
2020-06-20,Los Angeles - Park La Brea,Central LA,26,191.0,False
2020-06-20,Los Angeles - Pico-Union,Central LA,821,1962.0,False
2020-06-20,Los Angeles - Playa Del Rey,South Bay,5,156.0,False
2020-06-20,Los Angeles - Playa Vista,Westside,39,356.0,False
2020-06-20,Los Angeles - Porter Ranch,San Fernando Valley,124,348.0,False
2020-06-20,Los Angeles - Rancho Park,Westside,20,305.0,False
2020-06-20,Los Angeles - Regent Square,Central LA,12,432.0,False
2020-06-20,Los Angeles - Reseda,San Fernando Valley,814,1062.0,False
2020-06-20,Los Angeles - Reseda Ranch,San Fernando Valley,34,733.0,False
2020-06-20,Los Angeles - Reynier Village,Central LA,18,426.0,False
2020-06-20,Los Angeles - San Pedro,Harbor,1072,1374.0,True
2020-06-20,Los Angeles - Shadow Hills,San Fernando Valley,16,360.0,False
2020-06-20,Los Angeles - Sherman Oaks,San Fernando Valley,317,363.0,False
2020-06-20,Los Angeles - Silverlake,Central LA,240,544.0,False
2020-06-20,Los Angeles - South Carthay,Central LA,43,406.0,False
2020-06-20,Los Angeles - South Park,South LA,694,1828.0,False
2020-06-20,Los Angeles - St Elmo Village,Central LA,53,1156.0,False
2020-06-20,Los Angeles - Studio City,San Fernando Valley,94,419.0,False
2020-06-20,Los Angeles - Sun Valley,San Fernando Valley,436,831.0,False
2020-06-20,Los Angeles - Sunland,Verdugos,199,975.0,False
2020-06-20,Los Angeles - Sycamore Square,Central LA,1,155.0,False
2020-06-20,Los Angeles - Sylmar,San Fernando Valley,1106,1342.0,True
2020-06-20,Los Angeles - Tarzana,San Fernando Valley,309,1001.0,False
2020-06-20,Los Angeles - Temple-Beaudry,Central LA,463,1173.0,False
2020-06-20,Los Angeles - Thai Town,Central LA,48,489.0,False
2020-06-20,Los Angeles - Toluca Lake,San Fernando Valley,24,276.0,False
2020-06-20,Los Angeles - Toluca Terrace,San Fernando Valley,8,613.0,False
2020-06-20,Los Angeles - Toluca Woods,San Fernando Valley,3,161.0,False
2020-06-20,Los Angeles - Tujunga,Verdugos,155,557.0,False
2020-06-20,Los Angeles - University Hills,Eastside,17,496.0,False
2020-06-20,Los Angeles - University Park,South LA,300,1093.0,False
2020-06-20,Los Angeles - Valley Glen,San Fernando Valley,186,620.0,False
2020-06-20,Los Angeles - Valley Village,San Fernando Valley,266,1076.0,False
2020-06-20,Los Angeles - Van Nuys,San Fernando Valley,1046,1122.0,False
2020-06-20,Los Angeles - Venice,Westside,78,230.0,False
2020-06-20,Los Angeles - Vermont Knolls,South LA,276,1605.0,False
2020-06-20,Los Angeles - Vermont Square,South LA,132,1724.0,False
2020-06-20,Los Angeles - Vermont Vista,South LA,611,1484.0,False
2020-06-20,Los Angeles - Vernon Central,South LA,1055,2029.0,False
2020-06-20,Los Angeles - Victoria Park,Central LA,75,893.0,False
2020-06-20,Los Angeles - View Heights,South LA,12,325.0,False
2020-06-20,Los Angeles - Watts,South LA,533,1249.0,False
2020-06-20,Los Angeles - Wellington Square,Central LA,40,814.0,False
2020-06-20,Los Angeles - West Adams,South LA,345,1249.0,False
2020-06-20,Los Angeles - West Hills,San Fernando Valley,190,469.0,False
2020-06-20,Los Angeles - West Los Angeles,Westside,126,335.0,False
2020-06-20,Los Angeles - West Vernon,South LA,747,1393.0,False
2020-06-20,Los Angeles - Westchester,South Bay,131,254.0,False
2020-06-20,Los Angeles - Westlake,Central LA,1160,1954.0,False
2020-06-20,Los Angeles - Westwood,Westside,104,192.0,False
2020-06-20,Los Angeles - Wholesale District,Central LA,999,2765.0,True
2020-06-20,Los Angeles - Wilmington,Harbor,454,804.0,False
2020-06-20,Los Angeles - Wilshire Center,Central LA,366,730.0,False
2020-06-20,Los Angeles - Winnetka,San Fernando Valley,396,765.0,False
2020-06-20,Los Angeles - Woodland Hills,San Fernando Valley,232,341.0,False
2020-06-20,Unincorporated - Acton,Antelope Valley,19,238.0,False
2020-06-20,Unincorporated - Agua Dulce,Northwest County,9,216.0,False
2020-06-20,Unincorporated - Altadena,Verdugos,200,459.0,False
2020-06-20,Unincorporated - Anaverde,Antelope Valley,4,265.0,False
2020-06-20,Unincorporated - Angeles National Forest,Angeles Forest,2,161.0,False
2020-06-20,Unincorporated - Arcadia,San Gabriel Valley,17,213.0,False
2020-06-20,Unincorporated - Athens-Westmont,South LA,358,844.0,False
2020-06-20,Unincorporated - Athens Village,South LA,51,1041.0,False
2020-06-20,Unincorporated - Avocado Heights,San Gabriel Valley,49,723.0,False
2020-06-20,Unincorporated - Azusa,San Gabriel Valley,114,716.0,False
2020-06-20,Unincorporated - Bassett,San Gabriel Valley,177,1195.0,False
2020-06-20,Unincorporated - Bouquet Canyon,Northwest County,1,93.0,False
2020-06-20,Unincorporated - Bradbury,San Gabriel Valley,0,0.0,False
2020-06-20,Unincorporated - Canyon Country,Northwest County,39,505.0,False
2020-06-20,Unincorporated - Castaic,Northwest County,1729,6359.0,True
2020-06-20,Unincorporated - Cerritos,Southeast,0,0.0,False
2020-06-20,Unincorporated - Charter Oak,San Gabriel Valley,0,0.0,False
2020-06-20,Unincorporated - Claremont,Pomona Valley,0,0.0,False
2020-06-20,Unincorporated - Covina,San Gabriel Valley,85,505.0,False
2020-06-20,Unincorporated - Del Aire,South Bay,19,433.0,False
2020-06-20,Unincorporated - Del Rey,Westside,1,314.0,False
2020-06-20,Unincorporated - Del Sur,Antelope Valley,2,83.0,False
2020-06-20,Unincorporated - Desert View Highlands,Antelope Valley,7,281.0,False
2020-06-20,Unincorporated - Duarte,San Gabriel Valley,25,565.0,False
2020-06-20,Unincorporated - East Covina,San Gabriel Valley,0,0.0,False
2020-06-20,Unincorporated - East La Mirada,Southeast,27,510.0,False
2020-06-20,Unincorporated - East Lancaster,Antelope Valley,0,0.0,False
2020-06-20,Unincorporated - East Los Angeles,Eastside,1927,1538.0,False
2020-06-20,Unincorporated - East Pasadena,San Gabriel Valley,4,62.0,False
2020-06-20,Unincorporated - East Rancho Dominguez,Southeast,131,856.0,False
2020-06-20,Unincorporated - East Whittier,Southeast,18,339.0,False
2020-06-20,Unincorporated - El Camino Village,South Bay,65,739.0,False
2020-06-20,Unincorporated - El Monte,San Gabriel Valley,1,690.0,False
2020-06-20,Unincorporated - Elizabeth Lake,Antelope Valley,4,241.0,False
2020-06-20,Unincorporated - Florence-Firestone,South LA,1043,1612.0,False
2020-06-20,Unincorporated - Franklin Canyon,Central LA,0,0.0,False
2020-06-20,Unincorporated - Glendora,San Gabriel Valley,3,455.0,False
2020-06-20,Unincorporated - Hacienda Heights,San Gabriel Valley,251,449.0,False
2020-06-20,Unincorporated - Harbor Gateway,Harbor,0,0.0,False
2020-06-20,Unincorporated - Hawthorne,South Bay,11,438.0,False
2020-06-20,Unincorporated - Hi Vista,Antelope Valley,1,91.0,False
2020-06-20,Unincorporated - Kagel/Lopez Canyons,Angeles Forest,8,567.0,False
2020-06-20,Unincorporated - La Crescenta-Montrose,Verdugos,39,197.0,False
2020-06-20,Unincorporated - La Habra Heights,San Gabriel Valley,0,0.0,False
2020-06-20,Unincorporated - La Rambla,Harbor,47,2265.0,False
2020-06-20,Unincorporated - La Verne,Pomona Valley,7,343.0,False
2020-06-20,Unincorporated - Ladera Heights,Westside,25,354.0,False
2020-06-20,Unincorporated - Lake Hughes,Northwest County,1,150.0,False
2020-06-20,Unincorporated - Lake Los Angeles,Antelope Valley,37,285.0,False
2020-06-20,Unincorporated - Lake Manor,San Fernando Valley,5,304.0,False
2020-06-20,Unincorporated - Lakewood,Harbor,0,0.0,False
2020-06-20,Unincorporated - Lennox,South Bay,164,728.0,False
2020-06-20,Unincorporated - Leona Valley,Antelope Valley,4,228.0,False
2020-06-20,Unincorporated - Littlerock,Antelope Valley,17,423.0,False
2020-06-20,Unincorporated - Littlerock/Juniper Hills,Antelope Valley,2,154.0,False
2020-06-20,Unincorporated - Littlerock/Pearblossom,Antelope Valley,28,785.0,False
2020-06-20,Unincorporated - Llano,Antelope Valley,1,114.0,False
2020-06-20,Unincorporated - Marina del Rey,Westside,18,191.0,False
2020-06-20,Unincorporated - Miracle Mile,Central LA,0,0.0,False
2020-06-20,Unincorporated - Monrovia,San Gabriel Valley,25,644.0,False
2020-06-20,Unincorporated - Newhall,Northwest County,2,909.0,False
2020-06-20,Unincorporated - North Lancaster,Antelope Valley,7,584.0,False
2020-06-20,Unincorporated - North Whittier,San Gabriel Valley,28,335.0,False
2020-06-20,Unincorporated - Northeast San Gabriel,San Gabriel Valley,82,341.0,False
2020-06-20,Unincorporated - Palmdale,Antelope Valley,6,713.0,False
2020-06-20,Unincorporated - Palos Verdes Peninsula,South Bay,0,0.0,False
2020-06-20,Unincorporated - Pearblossom/Llano,Antelope Valley,4,204.0,False
2020-06-20,Unincorporated - Pellissier Village,San Gabriel Valley,2,323.0,False
2020-06-20,Unincorporated - Placerita Canyon,Angeles Forest,0,0.0,False
2020-06-20,Unincorporated - Pomona,San Gabriel Valley,4,206.0,False
2020-06-20,Unincorporated - Quartz Hill,Antelope Valley,49,380.0,False
2020-06-20,Unincorporated - Rancho Dominguez,Harbor,23,864.0,False
2020-06-20,Unincorporated - Roosevelt,Antelope Valley,1,107.0,False
2020-06-20,Unincorporated - Rosewood,Southeast,8,622.0,False
2020-06-20,Unincorporated - Rosewood/East Gardena,Southeast,2,168.0,False
2020-06-20,Unincorporated - Rosewood/West Rancho Dominguez,Southeast,31,922.0,False
2020-06-20,Unincorporated - Rowland Heights,San Gabriel Valley,211,414.0,False
2020-06-20,Unincorporated - San Clemente Island,Harbor,0,0.0,False
2020-06-20,Unincorporated - San Francisquito Canyon/Bouquet Canyon,Northwest County,0,0.0,False
2020-06-20,Unincorporated - San Jose Hills,San Gabriel Valley,152,752.0,False
2020-06-20,Unincorporated - San Pasqual,San Gabriel Valley,2,98.0,False
2020-06-20,Unincorporated - Sand Canyon,Angeles Forest,0,0.0,False
2020-06-20,Unincorporated - Santa Catalina Island,Harbor,3,1124.0,False
2020-06-20,Unincorporated - Santa Monica Mountains,Santa Monica Mountains,34,183.0,True
2020-06-20,Unincorporated - Saugus,Northwest County,5,3226.0,False
2020-06-20,Unincorporated - Saugus/Canyon Country,Northwest County,0,0.0,False
2020-06-20,Unincorporated - South Antelope Valley,Antelope Valley,1,220.0,False
2020-06-20,Unincorporated - South El Monte,San Gabriel Valley,11,613.0,False
2020-06-20,Unincorporated - South San Gabriel,San Gabriel Valley,68,769.0,False
2020-06-20,Unincorporated - South Whittier,Southeast,316,534.0,False
2020-06-20,Unincorporated - Southeast Antelope Valley,Antelope Valley,1,128.0,False
2020-06-20,Unincorporated - Stevenson Ranch,Northwest County,47,224.0,False
2020-06-20,Unincorporated - Sun Village,Antelope Valley,28,464.0,False
2020-06-20,Unincorporated - Sunrise Village,San Gabriel Valley,10,772.0,False
2020-06-20,Unincorporated - Twin Lakes/Oat Mountain,Northwest County,7,422.0,False
2020-06-20,Unincorporated - Val Verde,Northwest County,23,695.0,False
2020-06-20,Unincorporated - Valencia,Northwest County,12,391.0,False
2020-06-20,Unincorporated - Valinda,San Gabriel Valley,183,783.0,False
2020-06-20,Unincorporated - View Park/Windsor Hills,South LA,47,404.0,False
2020-06-20,Unincorporated - Walnut Park,Southeast,215,1332.0,False
2020-06-20,Unincorporated - West Antelope Valley,Antelope Valley,3,199.0,False
2020-06-20,Unincorporated - West Carson,Harbor,134,607.0,False
2020-06-20,Unincorporated - West Chatsworth,San Fernando Valley,0,0.0,False
2020-06-20,Unincorporated - West Puente Valley,San Gabriel Valley,67,681.0,False
2020-06-20,Unincorporated - West Rancho Dominguez,Harbor,10,736.0,False
2020-06-20,Unincorporated - West Whittier/Los Nietos,Southeast,274,1018.0,False
2020-06-20,Unincorporated - Westfield/Academy Hills,South Bay,0,0.0,False
2020-06-20,Unincorporated - Westhills,San Fernando Valley,0,0.0,False
2020-06-20,Unincorporated - White Fence Farms,Antelope Valley,17,462.0,False
2020-06-20,Unincorporated - Whittier,San Gabriel Valley,17,449.0,False
2020-06-20,Unincorporated - Whittier Narrows,San Gabriel Valley,0,0.0,False
2020-06-20,Unincorporated - Willowbrook,South LA,416,1192.0,False
2020-06-20,Unincorporated - Wiseburn,South Bay,27,448.0,False
2020-06-20,City of Long Beach,Harbor,2934,625.74,False
2020-06-20,City of Pasadena,Verdugos,1120,792.94,False
2020-06-21,City of Agoura Hills,Santa Monica Mountains,47,225.0,False
2020-06-21,City of Alhambra,San Gabriel Valley,337,389.0,False
2020-06-21,City of Arcadia,San Gabriel Valley,130,225.0,False
2020-06-21,City of Artesia,Southeast,82,488.0,False
2020-06-21,City of Avalon,Harbor,0,0.0,False
2020-06-21,City of Azusa,San Gabriel Valley,328,655.0,False
2020-06-21,City of Baldwin Park,San Gabriel Valley,620,808.0,False
2020-06-21,City of Bell,Southeast,557,1533.0,False
2020-06-21,City of Bell Gardens,Southeast,556,1291.0,False
2020-06-21,City of Bellflower,Southeast,653,840.0,False
2020-06-21,City of Beverly Hills,Westside,199,576.0,False
2020-06-21,City of Bradbury,San Gabriel Valley,5,468.0,False
2020-06-21,City of Burbank,San Fernando Valley,490,457.0,False
2020-06-21,City of Calabasas,Santa Monica Mountains,103,423.0,False
2020-06-21,City of Carson,Harbor,575,613.0,False
2020-06-21,City of Cerritos,Southeast,179,358.0,False
2020-06-21,City of Claremont,Pomona Valley,83,227.0,False
2020-06-21,City of Commerce,Southeast,151,1155.0,True
2020-06-21,City of Compton,Southeast,1119,1120.0,False
2020-06-21,City of Covina,San Gabriel Valley,297,606.0,False
2020-06-21,City of Cudahy,Southeast,393,1614.0,False
2020-06-21,City of Culver City,Westside,186,467.0,False
2020-06-21,City of Diamond Bar,San Gabriel Valley,108,188.0,False
2020-06-21,City of Downey,Southeast,1214,1062.0,False
2020-06-21,City of Duarte,San Gabriel Valley,159,722.0,False
2020-06-21,City of El Monte,San Gabriel Valley,1130,964.0,False
2020-06-21,City of El Segundo,South Bay,42,250.0,False
2020-06-21,City of Gardena,South Bay,408,665.0,False
2020-06-21,City of Glendale,Verdugos,1247,604.0,False
2020-06-21,City of Glendora,San Gabriel Valley,239,453.0,False
2020-06-21,City of Hawaiian Gardens,Harbor,139,947.0,False
2020-06-21,City of Hawthorne,South Bay,608,685.0,False
2020-06-21,City of Hermosa Beach,South Bay,56,285.0,False
2020-06-21,City of Hidden Hills,Santa Monica Mountains,4,212.0,False
2020-06-21,City of Huntington Park,Southeast,923,1552.0,False
2020-06-21,City of Industry,San Gabriel Valley,13,2975.0,False
2020-06-21,City of Inglewood,South Bay,839,739.0,False
2020-06-21,City of Irwindale,San Gabriel Valley,7,480.0,False
2020-06-21,City of La Canada Flintridge,Verdugos,69,333.0,False
2020-06-21,City of La Habra Heights,San Gabriel Valley,13,238.0,False
2020-06-21,City of La Mirada,Southeast,265,534.0,False
2020-06-21,City of La Puente,San Gabriel Valley,295,725.0,False
2020-06-21,City of La Verne,Pomona Valley,70,210.0,False
2020-06-21,City of Lakewood,Harbor,324,403.0,False
2020-06-21,City of Lancaster,Antelope Valley,871,539.0,True
2020-06-21,City of Lawndale,South Bay,173,515.0,False
2020-06-21,City of Lomita,South Bay,66,318.0,False
2020-06-21,City of Lynwood,Southeast,1093,1517.0,True
2020-06-21,City of Malibu,Santa Monica Mountains,47,363.0,False
2020-06-21,City of Manhattan Beach,South Bay,98,272.0,False
2020-06-21,City of Maywood,Southeast,519,1850.0,False
2020-06-21,City of Monrovia,San Gabriel Valley,217,559.0,False
2020-06-21,City of Montebello,Southeast,697,1083.0,False
2020-06-21,City of Monterey Park,San Gabriel Valley,259,416.0,False
2020-06-21,City of Norwalk,Southeast,841,781.0,False
2020-06-21,City of Palmdale,Antelope Valley,1020,642.0,False
2020-06-21,City of Palos Verdes Estates,South Bay,48,355.0,False
2020-06-21,City of Paramount,Southeast,645,1151.0,False
2020-06-21,City of Pico Rivera,Southeast,780,1213.0,False
2020-06-21,City of Pomona,Pomona Valley,1040,667.0,False
2020-06-21,City of Rancho Palos Verdes,South Bay,122,285.0,False
2020-06-21,City of Redondo Beach,South Bay,170,247.0,False
2020-06-21,City of Rolling Hills,South Bay,2,103.0,False
2020-06-21,City of Rolling Hills Estates,South Bay,18,222.0,False
2020-06-21,City of Rosemead,San Gabriel Valley,185,334.0,False
2020-06-21,City of San Dimas,San Gabriel Valley,111,322.0,False
2020-06-21,City of San Fernando,San Fernando Valley,261,1060.0,False
2020-06-21,City of San Gabriel,San Gabriel Valley,199,486.0,False
2020-06-21,City of San Marino,San Gabriel Valley,25,188.0,False
2020-06-21,City of Santa Clarita,Northwest County,959,435.0,False
2020-06-21,City of Santa Fe Springs,Southeast,111,604.0,False
2020-06-21,City of Santa Monica,Westside,356,385.0,False
2020-06-21,City of Sierra Madre,San Gabriel Valley,27,246.0,False
2020-06-21,City of Signal Hill,Harbor,60,509.0,False
2020-06-21,City of South El Monte,San Gabriel Valley,210,1006.0,False
