Date,Age,Cases,Cases per 100k,"New cases, 14-day avg per 100k"
2020-06-12,18 to 40,25944,802.6567120404076,17.758439435368253
2020-06-12,41 to 65,25748,817.522438368308,14.453467952354767
2020-06-12,over 65,10804,921.4074575669863,10.849332799537224
2020-06-13,0 to 17,4254,202.86161728491615,5.6679718443498635
2020-06-13,18 to 40,26623,823.6636464944407,17.26343067061931
2020-06-13,41 to 65,26221,832.540618939545,13.990811830860906
2020-06-13,over 65,10960,934.7117488832071,10.812782548668487
2020-06-14,0 to 17,4340,206.9627219126789,5.579409784281896
2020-06-14,18 to 40,27048,836.8123168080845,16.92532200541133
2020-06-14,41 to 65,26554,843.1136720689782,13.820717668546985
2020-06-14,over 65,11060,943.2401407525795,10.569114209543564
2020-06-15,0 to 17,4428,211.15920106666871,5.64753444587264
2020-06-15,18 to 40,27455,849.4041022613857,16.85681632814697
2020-06-15,41 to 65,26792,850.6703887200446,13.555370775337272
2020-06-15,over 65,11090,945.7986583133911,10.160969741509316
2020-06-16,0 to 17,4545,216.7386108509506,5.722471573622458
2020-06-16,18 to 40,27987,865.863143689288,16.93858116875282
2020-06-16,41 to 65,27235,864.7360419823236,13.680106494367479
2020-06-16,over 65,11243,958.8470978735307,10.410729789112361
2020-06-17,0 to 17,4829,230.28179357519042,6.413936888768505
2020-06-17,18 to 40,28887,893.7073867064158,17.893240929340063
2020-06-17,41 to 65,27897,885.7551445999957,14.367286910115713
2020-06-17,over 65,11400,972.2366731084453,10.776232297799748
2020-06-18,0 to 17,4915,234.38289820295319,6.3151561294619265
2020-06-18,18 to 40,29311,906.8251189722628,17.597119614713463
2020-06-18,41 to 65,28226,896.2011940882345,13.977204297875792
2020-06-18,over 65,11499,980.6797810591239,10.093960948249961
2020-06-19,0 to 17,5042,240.43918061837027,6.482061550359248
2020-06-19,18 to 40,29881,924.4598062164438,17.58165059081506
2020-06-19,41 to 65,28672,910.3621000814094,13.834325201532101
2020-06-19,over 65,11611,990.2315799528209,9.83201748369067
2020-06-20,0 to 17,5244,250.07200776730141,6.860153422187875
2020-06-20,18 to 40,30795,952.7371819027271,18.324163737938473
2020-06-20,41 to 65,29348,931.8257154432617,14.376358598772454
2020-06-20,over 65,11779,1004.5592782933664,9.947759944775008
2020-06-21,0 to 17,5419,258.4172788121675,6.904434452221858
2020-06-21,18 to 40,31572,976.7760450408475,18.62028505256507
2020-06-21,41 to 65,29948,950.8762616224208,14.573667827056601
2020-06-21,over 65,11912,1015.9020394796316,9.978218487165623
2020-06-22,0 to 17,5720,272.77114500933715,7.6538057297200375
