Area,Cases,Case rate,Deaths,Death rate,CF Outbreak,People Vaccinated,Percent Vaccinated
Los Angeles - Palisades Highlands,129,3354,1,26,False,893,28.1
Los Angeles - Palms,2440,5561,52,119,False,4384,12.1
Los Angeles - Panorama City,12865,17096,219,291,False,6433,11.6
Los Angeles - Park La Brea,543,3999,1,7,False,1108,10.4
Los Angeles - Pico-Union,6830,16323,185,442,False,3045,9.6
Los Angeles - Playa Del Rey,100,3129,1,31,False,443,16.6
Los Angeles - Playa Vista,544,4969,6,55,False,1901,21.1
Los Angeles - Porter Ranch,2269,6376,30,84,False,7430,24.9
Los Angeles - Rancho Park,329,5015,2,30,False,1308,26.3
Los Angeles - Regent Square,229,8237,3,108,False,268,12.2
Los Angeles - Reseda,10981,14332,257,335,False,9370,15.6
Los Angeles - Reseda Ranch,633,13654,3,65,False,468,12.7
Los Angeles - Reynier Village,248,5866,1,24,False,470,14.3
Los Angeles - San Pedro,6649,8520,94,120,True,7606,12.6
Los Angeles - Shadow Hills,365,8217,3,68,False,565,15.0
Los Angeles - Sherman Oaks,5302,6077,78,89,False,12518,17.6
Los Angeles - Silverlake,3000,6805,99,225,False,5277,14.4
Los Angeles - South Carthay,651,6144,6,57,False,1540,18.4
Los Angeles - South Park,7110,18730,88,232,False,1526,5.8
Los Angeles - St Elmo Village,665,14507,33,720,False,322,9.3
Los Angeles - Studio City,1219,5432,42,187,False,3332,17.9
Los Angeles - Sun Valley,8931,17017,124,236,False,4448,11.2
Los Angeles - Sunland,2147,10520,50,245,False,2608,15.3
Los Angeles - Sycamore Square,27,4173,2,309,False,54,9.8
Los Angeles - Sylmar,15362,18644,212,257,True,7733,12.5
Los Angeles - Tarzana,3155,10218,68,220,False,5899,23.6
Los Angeles - Temple-Beaudry,4833,12241,104,263,False,2828,9.2
Los Angeles - Thai Town,829,8451,15,153,False,528,6.1
Los Angeles - Toluca Lake,457,5250,6,69,False,1033,13.7
Los Angeles - Toluca Terrace,130,9954,4,306,False,176,18.0
Los Angeles - Toluca Woods,96,5167,0,0,False,246,15.7
Los Angeles - Tujunga,2663,9576,54,194,False,3208,14.1
Los Angeles - University Hills,258,7524,1,29,False,261,9.3
Los Angeles - University Park,3271,11914,44,160,False,1347,5.7
Los Angeles - Valley Glen,3619,12057,52,173,False,2561,10.8
Los Angeles - Valley Village,1865,7544,52,210,False,2901,14.3
Los Angeles - Van Nuys,13956,14975,278,298,True,6459,9.2
Los Angeles - Venice,1451,4282,13,38,False,3594,12.7
Los Angeles - Vermont Knolls,2726,15849,50,291,False,930,7.4
Los Angeles - Vermont Square,1414,18467,15,196,False,478,8.4
Los Angeles - Vermont Vista,7228,17550,77,187,False,1453,5.2
Los Angeles - Vernon Central,10716,20608,135,260,False,1954,5.5
Los Angeles - Victoria Park,1016,12097,11,131,False,557,8.7
Los Angeles - View Heights,214,5793,5,135,False,393,12.9
Los Angeles - Watts,7180,16825,81,190,False,1738,6.1
Los Angeles - Wellington Square,540,10987,8,163,False,385,10.3
Los Angeles - West Adams,3805,13771,123,445,False,2506,11.9
Los Angeles - West Hills,2821,6958,86,212,False,7213,21.2
Los Angeles - West Los Angeles,2160,5739,42,112,False,5287,16.3
Los Angeles - West Vernon,9764,18201,160,298,False,2920,7.4
Los Angeles - Westchester,2278,4414,41,79,False,6272,14.7
Los Angeles - Westlake,7380,12434,263,443,False,3575,7.7
Los Angeles - Westwood,2372,4384,22,41,False,8709,18.0
Los Angeles - Wholesale District,6106,16901,95,263,True,3742,11.7
Los Angeles - Wilmington,7904,13993,84,149,False,3233,8.0
Los Angeles - Wilshire Center,5328,10620,106,211,False,4161,10.5
Los Angeles - Winnetka,6420,12397,63,122,False,5663,14.1
Los Angeles - Woodland Hills,4599,6758,73,107,False,11664,20.9
Unincorporated - Acton,429,5382,7,88,False,613,9.0
Unincorporated - Agua Dulce,248,5964,2,48,False,411,11.3
Unincorporated - Altadena,3093,7091,51,117,False,7033,19.7
Unincorporated - Anaverde,140,9284,0,0,False,136,11.0
Unincorporated - Angeles National Forest,30,2410,0,0,False,59,5.5
Unincorporated - Arcadia,587,7355,13,163,False,1280,19.9
Unincorporated - Athens Village,1020,20829,27,551,False,439,12.1
Unincorporated - Athens-Westmont,6052,14259,76,179,False,2205,7.0
Unincorporated - Avocado Heights,1045,15424,12,177,False,517,10.0
Unincorporated - Azusa,2271,14262,31,195,False,1181,10.1
Unincorporated - Bassett,2541,17149,42,283,False,1435,12.7
Unincorporated - Bouquet Canyon,43,4007,1,93,False,81,9.2
