Setting Name,Address,Total Confirmed Staff,Total Confirmed Students
Linda Esperanza Marquez High School,"6361 Cottage St, Huntington Park, CA, 90255",5,0
Loyola Marymount University Athletics,"1 Lmu Dr, Los Angeles, CA, 90045",2,4
Luskin Conference Center 3,"337 Charles E Young Dr E,, Los Angeles, CA, 90095",22,0
Mail Distribution - UCLA,"555 Westwood Plz, Level B, Los Angeles, CA, 90095",5,0
"Manual Arts HS, LAUSD","4131 S Vermont Ave, Los Angeles, CA, 90037",6,0
Maryvale Early Education Center,"2502 Huntington Dr, Duarte, CA, 91010",4,3
Newhall School District Office,"25375 Orchard Village Rd, Valencia, CA, 91355",4,0
Oaks Christian School Westlake Village,"31749 La Tienda Rd, Westlake Village, CA, 91362",0,4
"Off Campus Neighborhood, USC S. Figueroa St","Los Angeles, CA",2,26
Proyecto Pastoral Centro de Alegria,"420 N Soto St, Los Angeles, CA, 90033",1,2
"Rendezvous Caf̩, UCLA","330 De Neve Dr, Los Angeles, CA, 90024",10,0
"RFK Community Schools, LAUSD","701 S Catalina St, Los Angeles, CA, 90005",5,0
Saugus High School,"21900 Centurion Way, Santa Clarita, CA, 91350",3,0
"South Gate High School, LAUSD","3351 Firestone Blvd, South Gate, CA, 90280",19,0
St. Genevieve School,"13967 Roscoe Blvd, Panorama City, CA, 91402",5,0
Stepping Stones Family Child Care,"5047 W 21st St, Los Angeles, CA, 90016",4,1
The Master's University and Seminary,"21726 Placerita Canyon Rd, Santa Clarita, CA, 91321",8,14
"Tierra Bonita Elementary, Eastside Union School District","44820 27th St E, E, Lancaster, CA, 93535",4,0
Tiny DOTs Early Education Center,"100 S Main St, Los Angeles, CA, 90012",3,0
Tiny Thinkers Preschool,"15737 Parthenia St, North Hills, CA, 91343",4,2
Trinity Classical Academy,"28310 Kelly Johnson Pkwy, Valencia, CA, 91355",5,4
Twinkle Tots,"555 W Redondo Beach Blvd, Suite 100, Gardena, CA, 90248",1,2
UCLA Facilities,"731 Charles E Young Dr S, Los Angeles, CA, 90095",35,0
UEI College Encino,"5445 Balboa Blvd, Encino, CA, 91316",0,3
UEI College West Covina,"339 N Azusa Ave, West Covina, CA, 91791",0,3
"UEI College, Huntington Park","6055 Pacific Blvd, Huntington Park, CA, 90255",4,0
USC Department of Public Safety 2,"3667 Mcclintock Ave, Los Angeles, CA, 90089",3,0
Valor Christian Academy Preschool/TK-8th Grade,"525 Earle Ln, Redondo Beach, CA, 90278",5,0
Van Nuys Early Education Center,"14350 Sylvan St, Van Nuys, CA, 91401",5,2
"Wescove Elementary School, West Covina","1010 W Vine Ave, West Covina, CA, 91790",4,1
"Woodrow Wilson Senior High, LAUSD","4500 Multnomah St, Los Angeles, CA, 90032",6,0
