Area,People Vaccinated,Percent Vaccinated
Unincorporated - Avocado Heights,1327,25.6
Unincorporated - Azusa,3054,26.1
Unincorporated - Bandini Islands,,
Unincorporated - Bassett,3580,31.7
Unincorporated - Bouquet Canyon,176,20.0
Unincorporated - Bradbury,262,93.6
Unincorporated - Canyon Country,382,25.1
Unincorporated - Castaic,5299,24.1
Unincorporated - Cerritos,155,34.4
Unincorporated - Charter Oak,6,31.6
Unincorporated - Claremont,148,27.6
Unincorporated - Covina,4392,32.9
Unincorporated - Covina (Charter Oak),3156,29.7
Unincorporated - Del Aire,1147,32.9
Unincorporated - Del Rey,121,33.2
Unincorporated - Del Sur,385,18.5
Unincorporated - Desert View Highlands,385,19.8
Unincorporated - Duarte,945,28.5
Unincorporated - East Covina,114,37.4
Unincorporated - East La Mirada,1412,32.7
Unincorporated - East Lancaster,14,15.6
Unincorporated - East Los Angeles,24050,26.5
Unincorporated - East Pasadena,2601,41.6
Unincorporated - East Rancho Dominguez,2127,20.0
Unincorporated - East Whittier,1154,27.6
Unincorporated - El Camino Village,2222,33.8
Unincorporated - El Monte,22,22.4
Unincorporated - Elizabeth Lake,188,13.3
Unincorporated - Florence-Firestone,9108,20.0
Unincorporated - Franklin Canyon,,
Unincorporated - Glendora,190,32.9
Unincorporated - Hacienda Heights,16633,35.7
Unincorporated - Harbor Gateway,,
Unincorporated - Hawthorne,484,26.1
Unincorporated - Hi Vista,132,15.5
Unincorporated - Kagel/Lopez Canyons,205,19.4
Unincorporated - La Crescenta-Montrose,6055,36.5
Unincorporated - La Habra Heights,103,17.3
Unincorporated - La Rambla,424,25.8
Unincorporated - La Verne,614,38.0
Unincorporated - Ladera Heights,2577,42.5
Unincorporated - Lake Hughes,50,10.0
Unincorporated - Lake Los Angeles,1515,15.7
Unincorporated - Lake Manor,386,28.0
Unincorporated - Lakewood,29,27.9
Unincorporated - Lennox,3444,21.1
Unincorporated - Leona Valley,280,18.1
Unincorporated - Littlerock,467,14.6
Unincorporated - Littlerock/Juniper Hills,288,23.8
Unincorporated - Littlerock/Pearblossom,448,16.2
