Area,Cases,Case rate,Deaths,Death rate,CF Outbreak
Los Angeles - Westlake,7380,12434.0,263,443.0,False
Los Angeles - Westwood,2372,4384.0,22,41.0,False
Los Angeles - Wholesale District,6106,16901.0,95,263.0,True
Los Angeles - Wilmington,7904,13993.0,84,149.0,False
Los Angeles - Wilshire Center,5328,10620.0,106,211.0,False
Los Angeles - Winnetka,6420,12397.0,63,122.0,False
Los Angeles - Woodland Hills,4599,6758.0,73,107.0,False
Unincorporated - Acton,429,5382.0,7,88.0,False
Unincorporated - Agua Dulce,248,5964.0,2,48.0,False
Unincorporated - Altadena,3093,7091.0,51,117.0,False
Unincorporated - Anaverde,140,9284.0,0,0.0,False
Unincorporated - Angeles National Forest,30,2410.0,0,0.0,False
Unincorporated - Arcadia,587,7355.0,13,163.0,False
Unincorporated - Athens-Westmont,6052,14259.0,76,179.0,False
Unincorporated - Athens Village,1020,20829.0,27,551.0,False
Unincorporated - Avocado Heights,1045,15424.0,12,177.0,False
Unincorporated - Azusa,2271,14262.0,31,195.0,False
Unincorporated - Bassett,2541,17149.0,42,283.0,False
Unincorporated - Bouquet Canyon,43,4007.0,1,93.0,False
Unincorporated - Bradbury,52,48148.0,22,20370.0,False
Unincorporated - Canyon Country,763,9873.0,3,39.0,False
Unincorporated - Castaic,3535,13001.0,13,48.0,True
Unincorporated - Cerritos,71,12095.0,0,0.0,False
Unincorporated - Charter Oak,0,0.0,0,0.0,False
Unincorporated - Claremont,40,5698.0,4,570.0,False
Unincorporated - Covina,2234,13283.0,33,196.0,False
Unincorporated - Covina (Charter Oak),1470,11184.0,9,68.0,False
Unincorporated - Del Aire,277,6305.0,3,68.0,False
Unincorporated - Del Rey,22,6918.0,0,0.0,False
Unincorporated - Del Sur,159,6584.0,1,41.0,False
Unincorporated - Desert View Highlands,327,13117.0,3,120.0,False
Unincorporated - Duarte,815,18406.0,9,203.0,False
Unincorporated - East Covina,34,10334.0,1,304.0,False
Unincorporated - East La Mirada,474,8957.0,6,113.0,False
Unincorporated - East Lancaster,15,13158.0,0,0.0,False
Unincorporated - East Los Angeles,24287,19388.0,348,278.0,False
Unincorporated - East Pasadena,194,3030.0,7,109.0,False
Unincorporated - East Rancho Dominguez,2668,17429.0,45,294.0,False
Unincorporated - East Whittier,438,8255.0,7,132.0,False
Unincorporated - El Camino Village,777,8839.0,11,125.0,False
Unincorporated - El Monte,23,15862.0,0,0.0,False
Unincorporated - Elizabeth Lake,74,4455.0,0,0.0,False
Unincorporated - Florence-Firestone,13132,20295.0,174,269.0,False
Unincorporated - Franklin Canyon,1,8333.0,0,0.0,False
Unincorporated - Glendora,61,9242.0,2,303.0,False
Unincorporated - Hacienda Heights,5002,8944.0,88,157.0,False
Unincorporated - Harbor Gateway,0,0.0,0,0.0,False
Unincorporated - Hawthorne,303,12053.0,1,40.0,False
Unincorporated - Hi Vista,42,3825.0,0,0.0,False
Unincorporated - Kagel/Lopez Canyons,208,14731.0,2,142.0,False
Unincorporated - La Crescenta-Montrose,1000,5050.0,9,45.0,False
Unincorporated - La Habra Heights,13,1923.0,1,148.0,False
Unincorporated - La Rambla,231,11133.0,16,771.0,False
Unincorporated - La Verne,153,7500.0,1,49.0,True
Unincorporated - Ladera Heights,354,5006.0,10,141.0,False
Unincorporated - Lake Hughes,40,5988.0,1,150.0,False
Unincorporated - Lake Los Angeles,1496,11513.0,16,123.0,False
Unincorporated - Lake Manor,126,7669.0,2,122.0,False
Unincorporated - Lakewood,0,0.0,0,0.0,False
Unincorporated - Lennox,3367,14937.0,42,186.0,False
Unincorporated - Leona Valley,107,6111.0,1,57.0,False
Unincorporated - Littlerock,500,12435.0,5,124.0,False
Unincorporated - Littlerock/Juniper Hills,106,8173.0,1,77.0,False
Unincorporated - Littlerock/Pearblossom,494,13841.0,8,224.0,False
Unincorporated - Llano,36,4105.0,1,114.0,False
Unincorporated - Marina del Rey,330,3507.0,1,11.0,False
Unincorporated - Miracle Mile,0,0.0,0,0.0,False
Unincorporated - Monrovia,353,9096.0,1,26.0,False
Unincorporated - Newhall,66,30000.0,1,455.0,False
Unincorporated - North Lancaster,140,11686.0,2,167.0,False
Unincorporated - North Whittier,1074,12847.0,26,311.0,False
Unincorporated - Northeast San Gabriel,1558,6482.0,36,150.0,False
Unincorporated - Padua Hills,9,4186.0,0,0.0,False
Unincorporated - Palmdale,109,12945.0,2,238.0,False
Unincorporated - Palos Verdes Peninsula,20,3221.0,0,0.0,False
Unincorporated - Pearblossom/Llano,116,5930.0,1,51.0,False
Unincorporated - Pellissier Village,159,25687.0,1,162.0,False
Unincorporated - Placerita Canyon,0,0.0,0,0.0,False
Unincorporated - Pomona,60,3096.0,1,52.0,False
Unincorporated - Quartz Hill,1107,8577.0,19,147.0,False
Unincorporated - Rancho Dominguez,363,13641.0,5,188.0,False
Unincorporated - Roosevelt,81,8700.0,0,0.0,False
Unincorporated - Rosewood,148,11509.0,3,233.0,False
Unincorporated - Rosewood/East Gardena,148,12406.0,5,419.0,False
Unincorporated - Rosewood/West Rancho Dominguez,482,14341.0,8,238.0,False
Unincorporated - Rowland Heights,3478,6817.0,46,90.0,False
Unincorporated - San Clemente Island,0,0.0,0,0.0,False
Unincorporated - San Francisquito Canyon/Bouquet Canyon,14,1632.0,0,0.0,False
Unincorporated - San Jose Hills,3386,16745.0,53,262.0,False
Unincorporated - San Pasqual,33,1622.0,1,49.0,False
Unincorporated - Sand Canyon,15,4870.0,0,0.0,False
Unincorporated - Santa Catalina Island,162,60674.0,1,375.0,False
Unincorporated - Santa Monica Mountains,558,2997.0,6,32.0,True
Unincorporated - Saugus,127,81935.0,0,0.0,False
Unincorporated - Saugus/Canyon Country,38,10674.0,0,0.0,False
Unincorporated - South Antelope Valley,25,5495.0,0,0.0,False
Unincorporated - South El Monte,338,18830.0,4,223.0,False
Unincorporated - South San Gabriel,884,9991.0,35,396.0,False
Unincorporated - South Whittier,7954,13431.0,125,211.0,False
Unincorporated - Southeast Antelope Valley,72,9219.0,0,0.0,False
Unincorporated - Stevenson Ranch,1019,4860.0,4,19.0,False
Unincorporated - Sun Village,894,14811.0,8,133.0,False
Unincorporated - Sunrise Village,185,14275.0,1,77.0,False
Unincorporated - Twin Lakes/Oat Mountain,81,4885.0,2,121.0,False
Unincorporated - Val Verde,305,9217.0,1,30.0,False
Unincorporated - Valencia,171,5566.0,1,33.0,False
Unincorporated - Valinda,3585,15340.0,57,244.0,False
Unincorporated - View Park/Windsor Hills,643,5526.0,12,103.0,False
Unincorporated - Walnut Park,2967,18379.0,44,273.0,False
Unincorporated - West Antelope Valley,47,3111.0,1,66.0,False
Unincorporated - West Carson,2013,9114.0,103,466.0,False
Unincorporated - West Chatsworth,2,16667.0,0,0.0,False
Unincorporated - West LA,212,22269.0,12,1261.0,False
Unincorporated - West Puente Valley,1648,16756.0,21,214.0,False
Unincorporated - West Rancho Dominguez,176,12951.0,5,368.0,False
Unincorporated - West Whittier/Los Nietos,4049,15038.0,74,275.0,False
Unincorporated - Westfield/Academy Hills,34,2615.0,0,0.0,False
Unincorporated - Westhills,42,5006.0,0,0.0,False
Unincorporated - White Fence Farms,251,6815.0,2,54.0,False
Unincorporated - Whittier,300,7928.0,8,211.0,False
Unincorporated - Whittier Narrows,13,108333.0,1,8333.0,False
Unincorporated - Willowbrook,5755,16484.0,79,226.0,False
Unincorporated - Wiseburn,484,8031.0,8,133.0,False
