Setting Name,Address,Total Confirmed Staff,Total Confirmed Non-Staff
Food 4 Less #314,"8530 Tobias Ave, Panorama City, CA, 91402",8,0
Food 4 Less #360,"2341 E Avenue S, Palmdale, CA, 93550",21,0
Food Pharma,"10012 Painter Ave, Santa Fe Springs, CA, 90670",29,0
Forever 21,"3880 N Mission Rd, Los Angeles, CA, 90031",8,0
Forever 21 - Montebello,"1800 Montebello Town Ctr, Montebello, CA, 90640",3,0
Four Points By Sheraton LAX,"9750 Airport Blvd, Los Angeles, CA, 90045",5,0
Frida Mexican Cuisine - Beverly Hills,"236 S Beverly Dr, Beverly Hills, CA, 90212",3,0
G.A. Gertmenian & Sons,"6195 Randolph St, Commerce, CA, 90040",7,0
Gardena Police Department,"1718 W 162nd St, Gardena, CA, 90247",16,0
Gelson's Market - Marina Del Rey,"13455 Maxella Ave, Marina Del Rey, CA, 90292",5,0
GFF Manufacturing Plant,"145 Willow Ave, City of Industry, CA, 91746",9,0
Gibson Overseas,"2410 Yates Ave, Commerce, CA, 90040",33,0
Gilead Sciences #1,"1800 Wheeler St, La Verne, CA, 91750",12,0
Gilead Sciences #2,"650 Cliffside Dr, San Dimas, CA, 91773",6,0
Glen Air,"1211 Air Way, Glendale, CA, 91201",52,0
"Global Paratransit, Inc.","400 W Compton Blvd, Gardena, CA, 90248",4,0
Gold Coast Ingredients,"2429 Yates Ave, Commerce, CA, 90040",19,0
Golden Bolt LLC,"9371 Canoga Ave, Chatsworth, CA, 91311",8,0
Goodwill Industries,"1500 W 6th St, Los Angeles, CA, 90017",7,0
Grace Community Church,"13248 Roscoe Blvd, Sun Valley, CA, 91352",5,0
Greystar - THEA at Metropolis Apartments,"1000 W 8th St, Los Angeles, CA, 90017",7,0
Griffith Company Brea,"4000 Oak Grove Rd., Pasadena, CA, 91103",5,0
Griley Airfreight,"5341 W 104th St, Los Angeles, CA, 90045",13,0
"H Mart Logistics, Inc.","11966 Washington Blvd, Whittier, CA, 90606",5,0
"HACLA, Nickerson Gardens Apartments","1590 E 114th St, Los Angeles, CA, 90059",5,0
Hall's Culligan Water,"15580 Roxford St, Sylmar, CA, 91342",3,0
Hank's Pacific Palisades,"1033 Swarthmore Ave, Pacific Palisades, CA, 90272",8,0
Hannibal Industries,"3851 S Santa Fe Ave, Vernon, CA, 90058",8,0
Hanson Rivet,"13241 Weidner St, Pacoima, CA, 91331",5,0
Harbor Freight Tools,"26850 Agoura Rd, Agoura, CA, 91301",4,0
Harley-Davidson of Glendale,"3717 San Fernando Rd, Glendale, CA, 91204",3,0
Harvest Farms Plant B,"45000 Yucca Ave, Lancaster, CA, 93534",17,0
Hawthorne Police Department,"12501 Hawthorne Blvd, Hawthorne, CA, 90250",12,0
Henkel Corp.,"21551 Prairie St, Chatsworth, CA, 91311",4,0
"Henkels & McCoy, Inc.","2840 Ficus St, Pomona, CA, 91766",6,0
Holland Flower Market,"2000 E 27th St, Vernon, CA, 90058",13,0
Hollander Sleep Products,"8500 Rex Rd, Pico Rivera, CA, 90660",15,0
Hollywood Family Source Center (Volunteers of America of Los Angeles),"1075 N Western Ave, Suite 110, Los Angeles, CA, 90029",5,0
Home Depot - Alhambra #6610,"500 S Marengo Ave, Alhambra, CA, 91803",13,0
Home Depot - Cypress Park #6689,"2055 N Figueroa St, Los Angeles, CA, 90065",14,0
Home Depot - Hyde Park #1039,"1830 W Slauson Ave, Los Angeles, CA, 90047",18,0
Home Depot - Long Beach #1062,"751 E Spring St, Signal Hill, CA, 90755",14,0
Home Depot - North Hollywood #6613,"11600 Sherman Way, North Hollywood, CA, 91605",12,0
Home Depot - Panorama City #6644,"7870 Van Nuys Blvd, Panorama City, CA, 91402",18,0
Homeboy Industries,"130 Bruno St, Los Angeles, CA, 90012",9,0
"Honda Performance Development, Inc.","25145 Anza Dr, Valencia, CA, 91355",5,0
"Honda, Goudy","1400 W Main St, Alhambra, CA, 91801",6,0
"Honda, World Downey Service & Parts Center","11136 Dollison Dr, Downey, CA, 90241",7,0
Howmet Aerospace #2,"3000 Lomita Blvd, Torrance, CA, 90505",29,0
"Huck International, Inc.","900 E Watson Center Rd, Carson, CA, 90745",15,0
"Hughes Brothers Aircrafters, Inc.","11010 Garfield Pl, South Gate, CA, 90280",6,0
Hydra Electric Aerospace Manufacturing,"3151 N Kenwood St, Burbank, CA, 91505",12,0
"Hydroform USA, Inc.","2848 E 208th St, Carson, CA, 90810",26,0
"Hyundai, Downey","7550 Firestone Blvd, Downey, CA, 90241",6,0
IBEW Local 11,"6023 Garfield Ave, Commerce, CA, 90040",3,0
Iglesia Bautista Hollydale,"12160 Utah Ave, South Gate, CA, 90280",1,2
"Imperfect Foods, Walnut","351 Cheryl Ln, Walnut, CA, 91789",41,0
In-N-Out Burger - Palmdale,"142 E Palmdale Blvd, Palmdale, CA, 93550",8,0
In-N-Out Burger - Sherman Oaks,"4444 Van Nuys Blvd, Sherman Oaks, CA, 91403",10,0
Infiniti of Valencia,"24055 Magic Mountain Pkwy, Santa Clarita, CA, 91355",8,0
Integrated Food Service,"310 W Alondra Blvd, Gardena, CA, 90248",26,0
International Paper Co. - Santa Fe Springs #1,"9211 Norwalk Blvd, Santa Fe Springs, CA, 90670",10,0
International Paper Co. - Santa Fe Springs #2,"11211 Greenstone Ave, Santa Fe Springs, CA, 90670",8,0
Interstate McBee California,"13137 Arctic Cir, Santa Fe Springs, CA, 90670",3,0
IOG Products,"9737 Lurline Ave, Chatsworth, CA, 91311",3,0
Islands #26,"2647 Pacific Coast Hwy, Torrance, CA, 90505",5,0
Jack in The Box #5309,"1799 E Avenue J, Lancaster, CA, 93535",4,0
Jamba Juice Compton,"200 Towne Center Dr, Compton, CA, 90220",3,0
Jarrow Industries,"12246 Hawkins St, Santa Fe Springs, CA, 90670",5,0
JC Sales (1),"2600 S Soto St, Vernon, CA, 90058",12,0
JC Sales (2),"7030 E Slauson Ave, Commerce, CA, 90040",19,0
"JCPenney, Antelope Valley Mall","1131 W Rancho Vista Blvd, Palmdale, CA, 93551",3,0
"JCPenney, Northridge Fashion Center","9301 Tampa Ave, Northridge, CA, 91324",12,0
Jersey Mike's - Santa Clarita,"19159 Golden Valley Rd, Santa Clarita, CA, 91387",4,0
Jewish Family Service of LA,"330 N Fairfax Ave, Los Angeles, CA, 90036",4,0
Jo's Candies LLC,"2530 W 237th St, Torrance, CA, 90505",7,0
Josie Maran Cosmetics,"12236 Sherman Way, North Hollywood, CA, 91605",5,0
JP Original Corporation,"19101 E Walnut Dr N, City of Industry, CA, 91748",4,0
Justice Design Group,"405 E Euclid Ave, Compton, CA, 90222",12,0
Kaiser Aluminum,"6250 Bandini Blvd, Commerce, CA, 90040",13,0
Kaiser Permanente Central Refill Pharmacy Center,"9521 Dalen St, Downey, CA, 90242",18,0
Kaiser Permanente Regional Lab,"4580 Electronics Pl, Los Angeles, CA, 90039",5,0
Killer Merch,"9505 Mason Ave, Chatsworth, CA, 91311",10,0
King's Hawaiian Manufacturing Plant,"19161 Harborgate Way, Torrance, CA, 90501",20,0
Klune Industries,"7323 Coldwater Canyon Ave, North Hollywood, CA, 91605",13,0
Kohl's Redondo Beach,"1799 Hawthorne Blvd, Redondo Beach, CA, 90278",13,0
Kohl's Valencia,"24200 Valencia Blvd, Valencia, CA, 91355",6,0
L & L Hawaiian Barbecue,"2400 Foothill Blvd, # A, La Verne, CA, 91750",5,0
LA Airforce Base,"482 N Aviation Blvd, El Segundo, CA, 90245",3,0
LA Apparel #3,"1020 E 59th St, Los Angeles, CA, 90001",17,0
LA City Bureau of Street Lighting,"4550 Santa Monica Blvd, Los Angeles, CA, 90029",13,0
LA City General Services Division,"2319 Dorris Pl, Los Angeles, CA, 90031",6,0
LA City Parks - The Kleimer Building,"3900 Chevy Chase Dr, Los Angeles, CA, 90039",8,0
LA County DCFS - Broadway,"1993 S Broadway, Los Angeles, CA, 90007",46,0
LA County DCFS - Covina Annex Regional Office,"1373 Center Court Dr, Covina, CA, 91724",3,0
LA County DCFS - Glendora,"725 S Grand Ave, Glendora, CA, 91740",15,0
LA County DCFS - Lancaster,"300 E Avenue K6, Lancaster, CA, 93535",12,0
LA County DCFS - San Dimas,"955 Overland Ct, Suite 100, San Dimas, CA, 91773",5,0
LA County DCFS - Santa Fe Springs,"10355 Slusher Dr, Santa Fe Springs, CA, 90670",8,0
LA County Department of Public Works (RD339),"29773 Mulholland Hwy, Agoura Hills, CA, 91301",3,0
LA County DPSS - Metro Special 70,"2707 S Grand Ave, Los Angeles, CA, 90007",18,0
LA County DPSS - South Special,"17600 B Santa Fe Ave, East Rancho Dominguez, CA, 90221",25,0
"LA County DPSS - Warehouse, Logistics, and Asset Management Section","13409 Carmenita Rd, Santa Fe Springs, CA, 90670",6,0
LA County Edmund D. Edelman Children's Court,"201 Centre Plaza Dr, Monterey Park, CA, 91754",8,0
"LA County Fire Department - Battalion 08 (Fire Stations 25, 40) and Battalion 12 (Fire Station 87)","4864 Durfee Ave, Pico Rivera, CA, 90660",10,0
"LA County Fire Department - Battalion 11 (Fire Stations 84, 130)","5030 W Avenue L14, Quartz Hill, CA, 93536",4,0
LA County Fire Department - Fire Station 28,"7733 Greenleaf Ave, Whittier, CA, 90602",4,0
LA County Library,"7400 Imperial Hwy, Downey, CA, 90242",7,0
LA County Registrar-Recorder/County Clerk,"12680 Corral Pl, Santa Fe Springs, CA, 90670",3,0
LA County Registrar-Recorder/County Clerk Norwalk,"12400 Imperial Hwy Ste 2204, Norwalk, CA, 90650",13,0
LA County Sheriff's Department - Crescenta Valley Station,"4554 Briggs Ave, La Crescenta, CA, 91214",4,0
LA County Sheriff's Department - East Los Angeles Station,"5019 E 3rd St, Los Angeles, CA, 90022",13,0
LA County Sheriff's Department - Inmate Services Bureau Operations,"4700 W Ramona Blvd, Monterey Park, CA, 91754",5,0
LA County Sheriff's Department - Shooting Range,"29300 The Old Rd, Castaic, CA, 91384",4,0
LA County Sheriff's Department Academy,"1060 N Eastern Ave, Los Angeles, CA, 90063",22,0
La Mesa at Le Jardin,"1430 N Cahuenga Blvd, Hollywood, CA, 90028",6,0
LADWP - John Ferraro Bldg Ste A17,"111 N Hope St, Los Angeles, CA, 90012",5,0
LADWP - Northridge District,"18718 Rayen St, Northridge, CA, 91324",7,0
LAFD Fire Station 1,"2230 Pasadena Ave, Los Angeles, CA, 90031",11,0
LAFD Fire Station 25,"2927 Whittier Blvd, Los Angeles, CA, 90023",7,0
LAFD Fire Station 63,"1930 Shell Ave, Venice, CA, 90291",6,0
LAFD Fire Station 74,"7777 Foothill Blvd, Tujunga, CA, 91042",7,0
LAFD Fire Station 94,"4470 Coliseum St, Los Angeles, CA, 90016",5,0
Lake Balboa Lifeguard Station,"6300 Balboa Blvd, Van Nuys, CA, 91316",3,0
Lance Camper,"43120 Venture St, Lancaster, CA, 93535",21,0
Langer's Deli,"704 S Alvarado St, Los Angeles, CA, 90057",11,0
Langer's Juice Company,"16195 Stephens St, City of Industry, CA, 91745",21,0
LAPD 77th Street Community Police Station,"7600 S Broadway, Los Angeles, CA, 90003",29,0
LAPD Central Community Police Station,"251 E 6th St, Los Angeles, CA, 90014",29,0
LAPD Foothill Community Police Station,"12760 Osborne St, Pacoima, CA, 91331",14,0
LAPD Headquarters,"100 W 1st St, Los Angeles, CA, 90012",18,0
LAPD Newton Community Police Station,"3400 S Central Ave, Los Angeles, CA, 90011",50,0
LAPD Northeast Community Police Station,"3353 N San Fernando Rd, Los Angeles, CA, 90065",25,0
LAPD Southwest Community Police Station,"1546 W Martin Luther King Jr Blvd, Los Angeles, CA, 90062",19,0
LAPD Topanga Community Police Station,"21501 Schoenborn St, Canoga Park, CA, 91304",4,0
LAPD Van Nuys Community Police Station,"6240 Sylmar Ave, Van Nuys, CA, 91401",25,0
LAUSD M&O Food Services Unit,"2929 Sunrise St, Los Angeles, CA, 90023",4,0
Law Offices of Steffanie Stelnick,"28001 Smyth Dr, Ste 101, Valencia, CA, 91355",4,0
Law Offices of Todd L Melnik,"20920 Warner Center Ln, Woodland Hills, CA, 91367",3,0
LAWA Police,"7303 World Way W, Los Angeles, CA, 90045",5,0
LAX Terminal 4 - Areas USA,"400 World Way, Los Angeles, CA, 90045",3,0
LAX Terminal 5 - JetBlue Airways,"500 World Way, Los Angeles, CA, 90045",7,0
Level Furnishing,"888 S Olive St, Los Angeles, CA, 90014",14,0
Lexus of Cerritos,"18800 Studebaker Rd, Cerritos, CA, 90703",11,0
LF Illumination,"9200 Deering Ave, Chatsworth, CA, 91311",17,0
Lincare,"21821 Plummer St, Chatsworth, CA, 91311",4,0
Line 204 LLC,"12224 Montague St, Pacoima, CA, 91331",6,0
Lisi Aerospace,"2600 Skypark Dr, Torrance, CA, 90505",18,0
Little Caesars Pizza #5903,"751 S Workman St, San Fernando, CA, 91340",7,0
Live Play Mobile,"3951 Higuera St, Culver City, CA, 90232",3,2
Location Secret Charm,"1433 Walnut St, Los Angeles, CA, 90011",9,0
Los Amigos Restaurant,"2825 W Olive Ave, Burbank, CA, 91505",4,0
Los Angeles Dodgers LLC,"1000 Vin Scully Ave, Los Angeles, CA, 90012",12,1
Los Angeles Football Club Performance Center,"5401 Paseo Rancho Castilla, Los Angeles, CA, 90032",3,0
"Los Angeles Motor Cars, Inc.","2025 S Figueroa St, Los Angeles, CA, 90007",28,0
Louis Vuitton US Manufacturing - Irwindale,"4775 Irwindale Ave, Irwindale, CA, 91706",14,0
Louis Vuitton US Manufacturing - San Dimas,"321 W Covina Blvd, San Dimas, CA, 91773",15,0
"LYMI, Inc.","2263 E Vernon Ave, Vernon, CA, 90058",21,0
Marathon Petroleum,"2350 E 223rd St, Carson, CA, 90810",34,0
Masonry Concepts,"13000 Venice Blvd, Los Angeles, CA, 90066",3,0
MATT Construction,"5860 W Jefferson Blvd, Los Angeles, CA, 90016",4,0
MATT Construction #2,"1111 S Broadway, Los Angeles, CA, 90015",4,0
McDonald's #1411,"1133 N La Brea Ave, West Hollywood, CA, 90038",7,0
McDonald's #5213,"1185 Durfee Ave, South El Monte, CA, 91733",5,0
McDonald's #7963,"15000 Whittier Blvd, Whittier, CA, 90603",3,0
McDonald's #11826,"101 W Manchester Ave, Los Angeles, CA, 90003",6,0
McDonald's #14283,"4480 E Olympic Blvd, Los Angeles, CA, 90023",14,0
McDonald's #14473,"3868 E 3rd St, Los Angeles, CA, 90063",8,0
McDonald's #25565,"11240 Glenoaks Blvd, Pacoima, CA, 91331",5,0
"MCI Foods, Inc.","13013 Molette St, Santa Fe Springs, CA, 90670",18,0
McStarlite Company,"1531 240th St, Harbor City, CA, 90710",6,0
MDR Fertility Pharmacy - Encino,"17071 Ventura Blvd, 100, Encino, CA, 91316",7,0
MedReach Ambulance,"1303 Kona Dr, Compton, CA, 90220",5,0
Mejuri,"8404 Melrose Ave, Los Angeles, CA, 90069",3,0
Menzies Aviation,"5625 W Imperial Hwy, Los Angeles, CA, 90045",13,0
Mercury Air Cargo Building 213,"6040 Avion Dr, Los Angeles, CA, 90045",18,0
Mercury Air Cargo Building 216,"6041 W Imperial Hwy, Los Angeles, CA, 90045",17,0
"Mercury Plastics, Inc.","14825 Salt Lake Ave, City of Industry, CA, 91746",17,0
Metro Division 13,"920 N Vignes St, Los Angeles, CA, 90012",11,0
