Area,Region,Population,CF Outbreak,Cases,Case rate,"New cases, 14-day avg","New cases, 14-day avg per 100k",Deaths,Death rate
Los Angeles - Harbor Gateway,South Bay,43600.0,False,5093,11681,5.5,12.57,71,163
Los Angeles - Harbor Pines,South Bay,2409.0,False,176,7306,0.14,5.93,1,42
Los Angeles - Harvard Heights,Metro,18035.0,False,2622,14538,1.14,6.29,71,394
Los Angeles - Harvard Park,South,37935.0,False,7377,19446,6.29,16.57,99,261
Los Angeles - Highland Park,San Fernando,48391.0,False,5934,12263,5.93,12.29,106,219
Los Angeles - Historic Filipinotown,Metro,13870.0,False,2119,15278,2.14,15.5,78,562
Los Angeles - Hollywood,San Fernando,68254.0,False,6000,8791,22.86,33.5,69,101
Los Angeles - Hollywood Hills,San Fernando,29434.0,False,1730,5878,8.0,27.21,27,92
Los Angeles - Hyde Park,South Bay,28541.0,False,3904,13679,7.93,27.79,79,277
Los Angeles - Jefferson Park,South,8073.0,False,1194,14790,1.07,13.29,13,161
Los Angeles - Koreatown,Metro,51693.0,False,5699,11025,5.86,11.36,124,240
Los Angeles - Lafayette Square,Metro,4559.0,False,545,11954,0.36,7.79,10,219
Los Angeles - Lake Balboa,San Fernando,42206.0,False,5583,13228,7.07,16.79,61,145
Los Angeles - Lakeview Terrace,San Fernando,13133.0,False,2360,17970,1.79,13.57,42,320
Los Angeles - Leimert Park,South,15235.0,False,1682,11040,3.71,24.36,22,144
Los Angeles - Lincoln Heights,Metro,32597.0,False,5187,15913,3.36,10.36,165,506
Los Angeles - Little Armenia,Metro,8025.0,False,1191,14841,1.0,12.43,85,1059
Los Angeles - Little Bangladesh,Metro,28343.0,False,2869,10122,3.36,11.79,30,106
Los Angeles - Little Tokyo,Metro,3133.0,False,407,12991,0.14,4.57,11,351
Los Angeles - Longwood,Metro,4304.0,False,601,13964,0.79,18.29,9,209
Los Angeles - Los Feliz,San Fernando,21608.0,False,1120,5183,3.0,13.86,24,111
Los Angeles - Manchester Square,South,8536.0,False,1000,11715,1.64,19.21,11,129
Los Angeles - Mandeville Canyon,West,3124.0,False,166,5314,0.29,9.14,1,32
Los Angeles - Mar Vista,West,42471.0,False,2197,5173,7.07,16.64,37,87
Los Angeles - Marina Peninsula,West,4360.0,False,161,3693,0.57,13.14,2,46
Los Angeles - Melrose,Metro,77696.0,False,8541,10993,15.0,19.29,214,275
Los Angeles - Mid-city,Metro,15030.0,False,1279,8510,3.43,22.86,44,293
Los Angeles - Miracle Mile,Metro,17985.0,False,1098,6105,5.14,28.57,16,89
Los Angeles - Mission Hills,San Fernando,24124.0,False,4443,18417,4.07,16.86,127,526
Los Angeles - Mt. Washington,Metro,24145.0,False,2919,12089,2.71,11.21,63,261
Los Angeles - North Hills,San Fernando,61575.0,False,9527,15472,6.0,9.71,144,234
Los Angeles - North Hollywood,San Fernando,151421.0,False,21499,14198,29.64,19.57,353,233
Los Angeles - Northridge,San Fernando,69797.0,False,7871,11277,12.36,17.71,179,256
Los Angeles - Pacific Palisades,West,21291.0,False,904,4246,2.71,12.79,16,75
Los Angeles - Pacoima,San Fernando,76979.0,False,17471,22696,6.29,8.21,230,299
Los Angeles - Palisades Highlands,West,3846.0,False,159,4134,0.5,13.0,1,26
Los Angeles - Palms,West,43877.0,False,2739,6242,6.07,13.79,61,139
Los Angeles - Panorama City,San Fernando,75250.0,False,13776,18307,10.5,13.93,273,363
Los Angeles - Park La Brea,Metro,13580.0,False,700,5155,3.5,25.79,1,7
Los Angeles - Pico-Union,Metro,41842.0,False,7224,17265,3.64,8.71,235,562
Los Angeles - Playa Del Rey,West,3196.0,False,127,3974,0.79,24.57,1,31
Los Angeles - Playa Vista,West,10947.0,False,643,5874,1.5,13.71,9,82
Los Angeles - Porter Ranch,San Fernando,35588.0,False,2587,7269,5.36,15.0,37,104
Los Angeles - Rancho Park,West,6560.0,False,403,6143,1.57,23.93,2,30
Los Angeles - Regent Square,Metro,2780.0,False,267,9604,0.43,15.43,3,108
Los Angeles - Reseda,San Fernando,76617.0,False,11799,15400,10.36,13.5,292,381
Los Angeles - Reseda Ranch,San Fernando,4636.0,False,720,15531,0.71,15.43,3,65
Los Angeles - Reynier Village,Metro,4228.0,False,276,6528,0.14,3.36,2,47
Los Angeles - San Pedro,South Bay,78038.0,True,7536,9657,11.36,14.57,117,150
Los Angeles - Shadow Hills,San Fernando,4442.0,False,410,9230,0.64,14.5,5,113
Los Angeles - Sherman Oaks,San Fernando,87254.0,False,6242,7154,18.0,20.64,112,128
Los Angeles - Silverlake,Metro,44083.0,False,3347,7592,6.14,13.93,121,274
Los Angeles - South Carthay,Metro,10595.0,False,760,7173,1.29,12.14,6,57
Los Angeles - South Park,South,37961.0,False,7447,19618,2.64,7.0,109,287
Los Angeles - St Elmo Village,Metro,4584.0,False,710,15489,0.29,6.29,42,916
Los Angeles - Studio City,San Fernando,22440.0,False,1513,6742,6.14,27.36,47,209
Los Angeles - Sun Valley,San Fernando,52483.0,False,9678,18440,6.79,12.93,148,282
Los Angeles - Sunland,San Fernando,20408.0,False,2357,11549,2.36,11.5,57,279
Los Angeles - Sycamore Square,Metro,647.0,False,36,5564,0.5,77.29,2,309
Los Angeles - Sylmar,San Fernando,82398.0,True,16472,19991,11.93,14.5,245,297
Los Angeles - Tarzana,San Fernando,30876.0,False,3438,11135,3.71,12.07,79,256
Los Angeles - Temple-Beaudry,Metro,39482.0,False,5173,13102,3.21,8.14,110,279
Los Angeles - Thai Town,San Fernando,9809.0,False,927,9451,1.29,13.14,20,204
Los Angeles - Toluca Lake,San Fernando,8704.0,False,553,6353,2.21,25.43,4,46
Los Angeles - Toluca Terrace,San Fernando,1306.0,False,151,11562,0.21,16.43,7,536
Los Angeles - Toluca Woods,San Fernando,1858.0,False,111,5974,0.0,0.0,0,0
Los Angeles - Tujunga,San Fernando,27810.0,False,3025,10877,2.93,10.5,68,245
Los Angeles - University Hills,San Gabriel,3429.0,False,278,8107,0.36,10.36,1,29
Los Angeles - University Park,South,27456.0,False,3650,13294,3.29,12.0,60,219
Los Angeles - Valley Glen,San Fernando,30016.0,False,3957,13183,4.07,13.57,72,240
Los Angeles - Valley Village,San Fernando,24720.0,False,2178,8811,5.64,22.86,82,332
Los Angeles - Van Nuys,San Fernando,93194.0,True,14946,16038,11.79,12.71,334,358
Los Angeles - Venice,West,33885.0,False,1899,5604,9.5,28.0,13,38
Los Angeles - Vermont Knolls,South,17200.0,False,2907,16901,1.71,9.93,55,320
Los Angeles - Vermont Square,South,7657.0,False,1506,19668,1.0,13.07,24,313
Los Angeles - Vermont Vista,South,41186.0,False,7687,18664,4.71,11.43,104,253
