Area,"New cases, 14-day avg","New cases, 14-day avg per 100k","Adjusted new cases, 14-day avg",Unstable adjusted case rate,Population
Los Angeles - Playa Del Rey,0.79,24.57,26.79,True,3196
Los Angeles - Playa Vista,6.21,56.79,57.36,False,10947
Los Angeles - Porter Ranch,23.14,65.0,66.36,False,35588
Los Angeles - Rancho Park,3.14,47.93,53.0,False,6560
Los Angeles - Regent Square,3.14,113.07,115.93,False,2780
Los Angeles - Reseda,123.5,161.21,159.5,False,76617
Los Angeles - Reseda Ranch,7.36,158.71,160.5,False,4636
Los Angeles - Reynier Village,2.07,49.0,45.07,False,4228
Los Angeles - San Pedro,65.0,83.29,84.79,False,78038
Los Angeles - Shadow Hills,4.0,90.07,93.0,False,4442
Los Angeles - Sherman Oaks,52.86,60.57,65.86,False,87254
Los Angeles - Silverlake,27.5,62.36,65.86,False,44083
Los Angeles - South Carthay,6.43,60.64,62.71,False,10595
Los Angeles - South Park,64.29,169.36,173.86,False,37961
Los Angeles - St Elmo Village,6.5,141.79,149.79,False,4584
Los Angeles - Studio City,10.21,45.5,45.5,False,22440
Los Angeles - Sun Valley,102.21,194.79,192.43,False,52483
Los Angeles - Sunland,22.57,110.57,112.5,False,20408
Los Angeles - Sycamore Square,0.21,33.14,43.07,True,647
Los Angeles - Sylmar,165.29,200.57,197.21,False,82398
Los Angeles - Tarzana,33.36,108.07,110.71,False,30876
Los Angeles - Temple-Beaudry,47.57,120.5,118.29,False,39482
Los Angeles - Thai Town,9.21,93.93,95.86,False,9809
Los Angeles - Toluca Lake,4.14,47.57,58.71,False,8704
Los Angeles - Toluca Terrace,2.0,153.14,187.14,False,1306
Los Angeles - Toluca Woods,0.79,42.29,41.64,True,1858
Los Angeles - Tujunga,29.93,107.64,106.43,False,27810
Los Angeles - University Hills,3.29,95.79,96.36,False,3429
Los Angeles - University Park,23.71,86.36,128.14,False,27456
Los Angeles - Valley Glen,34.71,115.64,114.57,False,30016
Los Angeles - Valley Village,16.43,66.43,69.71,False,24720
Los Angeles - Van Nuys,138.14,148.21,146.57,False,93194
Los Angeles - Venice,13.71,40.5,47.64,False,33885
Los Angeles - Vermont Knolls,27.14,157.79,157.86,False,17200
Los Angeles - Vermont Square,16.57,216.43,215.5,False,7657
Los Angeles - Vermont Vista,74.57,181.07,184.14,False,41186
Los Angeles - Vernon Central,105.14,202.21,208.43,False,51998
Los Angeles - Victoria Park,9.29,110.57,109.5,False,8399
Los Angeles - View Heights,2.93,79.29,77.0,False,3694
Los Angeles - Watts,75.0,175.79,183.86,False,42674
Los Angeles - Wellington Square,6.5,132.21,131.86,False,4915
Los Angeles - West Adams,37.14,134.43,132.93,False,27630
Los Angeles - West Hills,27.5,67.86,69.0,False,40545
Los Angeles - West Los Angeles,22.64,60.14,62.57,False,37636
Los Angeles - West Vernon,102.5,191.07,188.0,False,53644
Los Angeles - Westchester,26.5,51.36,50.07,False,51603
Los Angeles - Westlake,70.36,118.57,120.64,False,59355
Los Angeles - Westwood,39.21,72.5,48.64,False,54109
Los Angeles - Wholesale District,44.64,123.57,121.57,False,36129
Los Angeles - Wilmington,84.36,149.36,147.86,False,56487
Los Angeles - Wilshire Center,57.0,113.64,114.14,False,50170
Los Angeles - Winnetka,71.93,138.93,136.21,False,51786
Los Angeles - Woodland Hills,48.93,71.93,72.0,False,68055
Unincorporated - Acton,4.14,52.0,53.86,False,7971
Unincorporated - Agua Dulce,2.64,63.57,102.79,False,4158
Unincorporated - Altadena,27.93,64.0,66.64,False,43620
Unincorporated - Anaverde,1.43,94.71,122.0,False,1508
Unincorporated - Angeles National Forest,0.29,22.93,17.0,True,1245
Unincorporated - Arcadia,7.86,98.43,99.43,False,7981
Unincorporated - Athens Village,8.29,169.21,172.57,False,4897
Unincorporated - Athens-Westmont,66.07,155.64,155.79,False,42442
Unincorporated - Avocado Heights,9.43,139.14,131.93,False,6775
Unincorporated - Azusa,23.0,144.43,143.43,False,15923
Unincorporated - Bassett,22.64,152.79,148.21,False,14817
Unincorporated - Bouquet Canyon,0.64,59.93,74.79,True,1073
Unincorporated - Bradbury,1.93,1785.71,95.93,True,108
Unincorporated - Canyon Country,6.71,86.86,89.29,False,7728
Unincorporated - Castaic,15.36,56.5,55.36,False,27191
Unincorporated - Cerritos,1.0,170.36,164.29,True,587
Unincorporated - Charter Oak,0.0,0.0,0.0,False,20
Unincorporated - Claremont,0.14,20.36,15.64,True,702
Unincorporated - Covina,19.71,117.21,111.79,False,16819
Unincorporated - Covina (Charter Oak),12.71,96.71,93.07,False,13144
Unincorporated - Del Aire,1.86,42.29,42.21,False,4393
Unincorporated - Del Rey,0.21,67.36,104.0,True,318
Unincorporated - Del Sur,1.5,62.14,76.64,False,2415
Unincorporated - Desert View Highlands,3.64,146.14,141.79,False,2493
Unincorporated - Duarte,6.43,145.21,146.5,False,4428
Unincorporated - East Covina,0.21,65.14,234.5,True,329
Unincorporated - East La Mirada,5.71,108.0,107.57,False,5292
Unincorporated - East Lancaster,0.36,313.29,353.43,True,114
Unincorporated - East Los Angeles,229.79,183.43,183.14,False,125269
Unincorporated - East Pasadena,0.5,7.79,6.14,True,6403
Unincorporated - East Rancho Dominguez,24.86,162.36,170.43,False,15308
Unincorporated - East Whittier,5.21,98.29,96.14,False,5306
Unincorporated - El Camino Village,9.29,105.64,105.64,False,8791
Unincorporated - El Monte,0.29,197.07,281.07,True,145
Unincorporated - Elizabeth Lake,1.36,81.71,74.71,True,1661
Unincorporated - Florence-Firestone,125.43,193.86,196.21,False,64705
Unincorporated - Franklin Canyon,0.0,0.0,0.0,False,12
Unincorporated - Glendora,0.5,75.79,76.64,True,660
Unincorporated - Hacienda Heights,48.14,86.07,85.93,False,55926
Unincorporated - Harbor Gateway,0.0,0.0,0.0,False,1
Unincorporated - Hawthorne,3.21,127.86,128.29,False,2514
Unincorporated - Hi Vista,0.64,58.57,79.5,True,1098
Unincorporated - Kagel/Lopez Canyons,1.5,106.21,105.21,False,1412
Unincorporated - La Crescenta-Montrose,11.86,59.86,64.43,False,19801
Unincorporated - La Habra Heights,0.0,0.0,0.0,False,676
Unincorporated - La Rambla,2.0,96.36,103.57,False,2075
Unincorporated - La Verne,1.79,87.5,90.0,False,2040
Unincorporated - Ladera Heights,3.71,52.5,50.64,False,7071
Unincorporated - Lake Hughes,0.64,96.21,91.21,True,668
Unincorporated - Lake Los Angeles,14.64,112.71,115.14,False,12994
Unincorporated - Lake Manor,2.0,121.71,133.57,False,1643
Unincorporated - Lakewood,0.0,0.0,0.0,False,114
Unincorporated - Lennox,37.86,167.93,165.29,False,22542
Unincorporated - Leona Valley,0.5,28.57,28.43,True,1751
Unincorporated - Littlerock,5.5,136.79,136.71,False,4021
Unincorporated - Littlerock/Juniper Hills,1.21,93.64,101.57,True,1297
Unincorporated - Littlerock/Pearblossom,6.29,176.14,184.93,False,3569
Unincorporated - Llano,0.5,57.0,61.21,True,877
Unincorporated - Marina del Rey,2.71,28.86,21.14,False,9411
Unincorporated - Miracle Mile,0.0,0.0,0.0,False,3
Unincorporated - Monrovia,3.64,93.86,95.71,False,3881
Unincorporated - Newhall,0.14,64.93,50.21,True,220
Unincorporated - North Lancaster,1.79,149.07,162.64,False,1198
Unincorporated - North Whittier,11.14,133.29,131.86,False,8360
Unincorporated - Northeast San Gabriel,15.86,66.0,66.5,False,24036
Unincorporated - Padua Hills,0.0,0.0,0.0,False,215
Unincorporated - Palmdale,1.79,212.07,190.14,False,842
Unincorporated - Palos Verdes Peninsula,0.0,0.0,0.0,False,621
Unincorporated - Pearblossom/Llano,1.93,98.57,103.93,False,1956
Unincorporated - Pellissier Village,2.14,346.21,343.64,False,619
Unincorporated - Placerita Canyon,0.0,0.0,0.0,False,460
Unincorporated - Pomona,0.57,29.5,61.29,True,1938
Unincorporated - Quartz Hill,12.21,94.64,96.57,False,12906
Unincorporated - Rancho Dominguez,3.36,126.14,133.71,False,2661
Unincorporated - Roosevelt,1.14,122.79,160.86,True,931
Unincorporated - Rosewood,2.0,155.5,156.0,False,1286
Unincorporated - Rosewood/East Gardena,2.07,173.64,171.93,False,1193
Unincorporated - Rosewood/West Rancho Dominguez,4.36,129.64,123.71,False,3361
Unincorporated - Rowland Heights,32.93,64.57,64.21,False,51022
Unincorporated - San Clemente Island,0.0,0.0,0.0,False,4
Unincorporated - San Francisquito Canyon/Bouquet Canyon,0.21,25.0,79.64,True,858
Unincorporated - San Jose Hills,33.64,166.36,165.21,False,20221
Unincorporated - San Pasqual,0.07,3.5,5.93,True,2035
Unincorporated - Sand Canyon,0.21,69.57,49.36,True,308
Unincorporated - Santa Catalina Island,1.93,722.29,978.57,False,267
Unincorporated - Santa Monica Mountains,5.64,30.29,36.64,False,18621
Unincorporated - Saugus,0.79,506.93,359.57,True,155
Unincorporated - Saugus/Canyon Country,0.0,0.0,0.0,False,356
Unincorporated - South Antelope Valley,0.36,78.5,78.79,True,455
Unincorporated - South El Monte,2.57,143.29,138.5,False,1795
Unincorporated - South San Gabriel,11.07,125.14,118.5,False,8848
Unincorporated - South Whittier,67.14,113.36,110.86,False,59222
Unincorporated - Southeast Antelope Valley,0.64,82.29,88.36,True,781
Unincorporated - Stevenson Ranch,12.43,59.29,56.07,False,20966
Unincorporated - Sun Village,9.79,162.14,159.57,False,6036
Unincorporated - Sunrise Village,0.93,71.64,81.0,True,1296
Unincorporated - Twin Lakes/Oat Mountain,0.64,38.79,37.57,True,1658
Unincorporated - Val Verde,3.0,90.64,89.07,False,3309
Unincorporated - Valencia,2.07,67.43,85.86,False,3072
Unincorporated - Valinda,33.71,144.29,143.07,False,23371
Unincorporated - View Park/Windsor Hills,5.5,47.29,48.5,False,11635
Unincorporated - Walnut Park,31.71,196.43,196.29,False,16143
Unincorporated - West Antelope Valley,0.71,47.29,61.21,True,1511
Unincorporated - West Carson,21.64,98.0,94.79,False,22086
Unincorporated - West Chatsworth,0.0,0.0,0.0,False,12
Unincorporated - West LA,1.93,202.57,147.64,False,952
Unincorporated - West Puente Valley,14.5,147.43,142.43,False,9835
Unincorporated - West Rancho Dominguez,3.07,226.0,222.0,False,1359
Unincorporated - West Whittier/Los Nietos,35.07,130.29,127.71,False,26925
Unincorporated - Westfield/Academy Hills,0.21,16.5,8.29,True,1300
Unincorporated - Westhills,0.57,68.14,87.57,True,839
Unincorporated - White Fence Farms,2.36,64.0,67.5,False,3683
Unincorporated - Whittier,2.21,58.5,63.64,False,3784
Unincorporated - Whittier Narrows,0.0,0.0,0.0,False,12
Unincorporated - Willowbrook,55.79,159.79,161.5,False,34913
Unincorporated - Wiseburn,4.36,72.29,74.93,False,6027
