Area,Region,Cases,Case Rate,Deaths,Death Rate,CF Outbreak
Unincorporated - Anaverde,Antelope Valley,15,995,0,0,False
Unincorporated - Angeles National Forest,Angeles Forest,5,402,0,0,False
Unincorporated - Arcadia,San Gabriel Valley,86,1078,3,38,False
Unincorporated - Athens-Westmont,South LA,1507,3551,27,64,False
Unincorporated - Athens Village,South LA,232,4738,10,204,False
Unincorporated - Avocado Heights,San Gabriel Valley,289,4266,3,44,False
Unincorporated - Azusa,San Gabriel Valley,490,3077,3,19,False
Unincorporated - Bassett,San Gabriel Valley,622,4198,9,61,False
Unincorporated - Bouquet Canyon,Northwest County,6,559,1,93,False
Unincorporated - Bradbury,San Gabriel Valley,4,3704,1,926,False
Unincorporated - Canyon Country,Northwest County,129,1669,0,0,False
Unincorporated - Castaic,Northwest County,1935,7116,4,15,True
Unincorporated - Cerritos,Southeast,17,2896,0,0,False
Unincorporated - Charter Oak,San Gabriel Valley,0,0,0,0,False
Unincorporated - Claremont,Pomona Valley,22,3134,3,427,False
Unincorporated - Covina,San Gabriel Valley,417,2479,7,42,False
Unincorporated - Covina (Charter Oak),San Gabriel Valley,300,2282,2,15,False
Unincorporated - Del Aire,South Bay,75,1707,2,46,False
Unincorporated - Del Rey,Westside,3,943,0,0,False
Unincorporated - Del Sur,Antelope Valley,13,538,1,41,False
Unincorporated - Desert View Highlands,Antelope Valley,45,1805,1,40,False
Unincorporated - Duarte,San Gabriel Valley,145,3275,4,90,False
Unincorporated - East Covina,San Gabriel Valley,4,1216,0,0,False
Unincorporated - East La Mirada,Southeast,99,1871,1,19,False
Unincorporated - East Lancaster,Antelope Valley,0,0,0,0,False
Unincorporated - East Los Angeles,Eastside,6126,4890,102,81,False
Unincorporated - East Pasadena,San Gabriel Valley,79,1234,1,16,False
Unincorporated - East Rancho Dominguez,Southeast,670,4377,14,91,False
Unincorporated - East Whittier,Southeast,85,1602,0,0,False
Unincorporated - El Camino Village,South Bay,145,1649,3,34,False
